protein	number_letter	length	group	letter
Hs_JP201901_325	0	119	Hs_ps20-21	E
Hs_JP201901_325	70	119	Hs_ps20-21	H
Hs_JP201901_325	49	119	Hs_ps20-21	L
Hs_rnd_gnm5_766877	24	93	Hs_rand	E
Hs_rnd_gnm5_766877	22	93	Hs_rand	H
Hs_rnd_gnm5_766877	47	93	Hs_rand	L
ENSP00000268712	5	2440	Hs_ps1-2	E
ENSP00000268712	75	2440	Hs_ps1-2	H
ENSP00000268712	2360	2440	Hs_ps1-2	L
None_protein61509	2	91	Hs_igen	E
None_protein61509	42	91	Hs_igen	H
None_protein61509	47	91	Hs_igen	L
None_protein1201800	8	87	Hs_igen	E
None_protein1201800	10	87	Hs_igen	H
None_protein1201800	69	87	Hs_igen	L
Hs_rnd_gnm10_922118	11	49	Hs_rand	E
Hs_rnd_gnm10_922118	16	49	Hs_rand	H
Hs_rnd_gnm10_922118	22	49	Hs_rand	L
ENSP00000259396	70	201	Hs_ps13-17	E
ENSP00000259396	34	201	Hs_ps13-17	H
ENSP00000259396	97	201	Hs_ps13-17	L
Hs_rnd_gnm3_1129750	24	51	Hs_rand	E
Hs_rnd_gnm3_1129750	11	51	Hs_rand	H
Hs_rnd_gnm3_1129750	16	51	Hs_rand	L
Hs_rnd_gnm8_624643	38	69	Hs_rand	E
Hs_rnd_gnm8_624643	10	69	Hs_rand	H
Hs_rnd_gnm8_624643	21	69	Hs_rand	L
ENSP00000369332	58	1030	Hs_ps1-2	E
ENSP00000369332	150	1030	Hs_ps1-2	H
ENSP00000369332	822	1030	Hs_ps1-2	L
Hs_rnd_gnm3_561831	39	82	Hs_rand	E
Hs_rnd_gnm3_561831	7	82	Hs_rand	H
Hs_rnd_gnm3_561831	36	82	Hs_rand	L
None_protein1149486	18	48	Hs_igen	E
None_protein1149486	0	48	Hs_igen	H
None_protein1149486	30	48	Hs_igen	L
Raj_Hs_2350	9	45	Hs_ps31	E
Raj_Hs_2350	4	45	Hs_ps31	H
Raj_Hs_2350	32	45	Hs_ps31	L
Hs_rnd_gnm9_887064	3	62	Hs_rand	E
Hs_rnd_gnm9_887064	32	62	Hs_rand	H
Hs_rnd_gnm9_887064	27	62	Hs_rand	L
Raj_Hs_2424	8	48	Hs_ps31	E
Raj_Hs_2424	12	48	Hs_ps31	H
Raj_Hs_2424	28	48	Hs_ps31	L
ENSP00000289451	50	313	Hs_ps1-2	E
ENSP00000289451	177	313	Hs_ps1-2	H
ENSP00000289451	86	313	Hs_ps1-2	L
Raj_Hs_2429	20	66	Hs_ps31	E
Raj_Hs_2429	13	66	Hs_ps31	H
Raj_Hs_2429	33	66	Hs_ps31	L
ENSP00000490845	27	101	Hs_ps31	E
ENSP00000490845	32	101	Hs_ps31	H
ENSP00000490845	42	101	Hs_ps31	L
Raj_Hs_1990	7	44	Hs_ps31	E
Raj_Hs_1990	7	44	Hs_ps31	H
Raj_Hs_1990	30	44	Hs_ps31	L
Raj_Hs_1335	6	53	Hs_ps31	E
Raj_Hs_1335	0	53	Hs_ps31	H
Raj_Hs_1335	47	53	Hs_ps31	L
Raj_Hs_1332	7	49	Hs_ps31	E
Raj_Hs_1332	0	49	Hs_ps31	H
Raj_Hs_1332	42	49	Hs_ps31	L
ENSP00000311837	94	539	Hs_ps1-2	E
ENSP00000311837	57	539	Hs_ps1-2	H
ENSP00000311837	388	539	Hs_ps1-2	L
ENSP00000217320	58	215	Hs_ps1-2	E
ENSP00000217320	19	215	Hs_ps1-2	H
ENSP00000217320	138	215	Hs_ps1-2	L
None_protein575313	0	56	Hs_igen	E
None_protein575313	35	56	Hs_igen	H
None_protein575313	21	56	Hs_igen	L
Raj_Hs_1339	6	69	Hs_ps31	E
Raj_Hs_1339	13	69	Hs_ps31	H
Raj_Hs_1339	50	69	Hs_ps31	L
ENSP00000323527	180	735	Hs_ps1-2	E
ENSP00000323527	115	735	Hs_ps1-2	H
ENSP00000323527	440	735	Hs_ps1-2	L
Hs_rnd_gnm5_1088243	49	234	Hs_rand	E
Hs_rnd_gnm5_1088243	46	234	Hs_rand	H
Hs_rnd_gnm5_1088243	139	234	Hs_rand	L
None_protein645938	15	47	Hs_igen	E
None_protein645938	19	47	Hs_igen	H
None_protein645938	13	47	Hs_igen	L
Hs_rnd_gnm6_294954	13	48	Hs_rand	E
Hs_rnd_gnm6_294954	10	48	Hs_rand	H
Hs_rnd_gnm6_294954	25	48	Hs_rand	L
None_protein905583	0	57	Hs_igen	E
None_protein905583	14	57	Hs_igen	H
None_protein905583	43	57	Hs_igen	L
ENSP00000386280	20	343	Hs_ps13-17	E
ENSP00000386280	286	343	Hs_ps13-17	H
ENSP00000386280	37	343	Hs_ps13-17	L
None_protein866629	13	55	Hs_igen	E
None_protein866629	19	55	Hs_igen	H
None_protein866629	23	55	Hs_igen	L
ENSP00000326219	42	278	Hs_ps1-2	E
ENSP00000326219	112	278	Hs_ps1-2	H
ENSP00000326219	124	278	Hs_ps1-2	L
Hs_rnd_gnm10_1155399	51	167	Hs_rand	E
Hs_rnd_gnm10_1155399	28	167	Hs_rand	H
Hs_rnd_gnm10_1155399	88	167	Hs_rand	L
None_protein379796	35	139	Hs_igen	E
None_protein379796	47	139	Hs_igen	H
None_protein379796	57	139	Hs_igen	L
vdp2013_S4_597	25	43	Hs_ps31	E
vdp2013_S4_597	0	43	Hs_ps31	H
vdp2013_S4_597	18	43	Hs_ps31	L
None_protein580760	13	92	Hs_igen	E
None_protein580760	19	92	Hs_igen	H
None_protein580760	60	92	Hs_igen	L
Hs_rnd_gnm5_456357	27	64	Hs_rand	E
Hs_rnd_gnm5_456357	3	64	Hs_rand	H
Hs_rnd_gnm5_456357	34	64	Hs_rand	L
None_protein232579	19	81	Hs_igen	E
None_protein232579	37	81	Hs_igen	H
None_protein232579	25	81	Hs_igen	L
None_protein739121	10	52	Hs_igen	E
None_protein739121	7	52	Hs_igen	H
None_protein739121	35	52	Hs_igen	L
vdp2013_S4_592	2	46	Hs_ps31	E
vdp2013_S4_592	22	46	Hs_ps31	H
vdp2013_S4_592	22	46	Hs_ps31	L
vdp2013_S4_591	14	96	Hs_ps31	E
vdp2013_S4_591	24	96	Hs_ps31	H
vdp2013_S4_591	58	96	Hs_ps31	L
ENSP00000304604	237	1481	Hs_ps1-2	E
ENSP00000304604	91	1481	Hs_ps1-2	H
ENSP00000304604	1153	1481	Hs_ps1-2	L
Hs_rnd_gnm1_1300102	17	131	Hs_rand	E
Hs_rnd_gnm1_1300102	56	131	Hs_rand	H
Hs_rnd_gnm1_1300102	58	131	Hs_rand	L
vdp2013_S4_590	4	44	Hs_ps31	E
vdp2013_S4_590	30	44	Hs_ps31	H
vdp2013_S4_590	10	44	Hs_ps31	L
ENSP00000300738	74	792	Hs_ps1-2	E
ENSP00000300738	385	792	Hs_ps1-2	H
ENSP00000300738	333	792	Hs_ps1-2	L
ENSP00000239449	361	798	Hs_ps1-2	E
ENSP00000239449	17	798	Hs_ps1-2	H
ENSP00000239449	420	798	Hs_ps1-2	L
None_protein530139	0	47	Hs_igen	E
None_protein530139	21	47	Hs_igen	H
None_protein530139	26	47	Hs_igen	L
Hs_rnd_gnm8_290056	12	70	Hs_rand	E
Hs_rnd_gnm8_290056	20	70	Hs_rand	H
Hs_rnd_gnm8_290056	38	70	Hs_rand	L
ENSP00000239440	198	1544	Hs_ps1-2	E
ENSP00000239440	299	1544	Hs_ps1-2	H
ENSP00000239440	1047	1544	Hs_ps1-2	L
ENSP00000380308	157	638	Hs_ps1-2	E
ENSP00000380308	106	638	Hs_ps1-2	H
ENSP00000380308	375	638	Hs_ps1-2	L
ENSP00000366248	0	105	Hs_ps13-17	E
ENSP00000366248	47	105	Hs_ps13-17	H
ENSP00000366248	58	105	Hs_ps13-17	L
None_protein930735	14	88	Hs_igen	E
None_protein930735	27	88	Hs_igen	H
None_protein930735	47	88	Hs_igen	L
ENSP00000348145	42	122	Hs_ps20-21	E
ENSP00000348145	0	122	Hs_ps20-21	H
ENSP00000348145	80	122	Hs_ps20-21	L
None_protein116668	9	57	Hs_igen	E
None_protein116668	19	57	Hs_igen	H
None_protein116668	29	57	Hs_igen	L
Hs_rnd_gnm1_826364	12	42	Hs_rand	E
Hs_rnd_gnm1_826364	12	42	Hs_rand	H
Hs_rnd_gnm1_826364	18	42	Hs_rand	L
Hs_rnd_gnm9_235680	23	53	Hs_rand	E
Hs_rnd_gnm9_235680	0	53	Hs_rand	H
Hs_rnd_gnm9_235680	30	53	Hs_rand	L
ENSP00000283629	109	540	Hs_ps1-2	E
ENSP00000283629	52	540	Hs_ps1-2	H
ENSP00000283629	379	540	Hs_ps1-2	L
Hs_rnd_gnm1_1056563	36	98	Hs_rand	E
Hs_rnd_gnm1_1056563	19	98	Hs_rand	H
Hs_rnd_gnm1_1056563	43	98	Hs_rand	L
Hs_rnd_gnm5_382018	15	50	Hs_rand	E
Hs_rnd_gnm5_382018	17	50	Hs_rand	H
Hs_rnd_gnm5_382018	18	50	Hs_rand	L
None_protein1086010	8	132	Hs_igen	E
None_protein1086010	20	132	Hs_igen	H
None_protein1086010	104	132	Hs_igen	L
Hs_rnd_gnm9_1294725	3	40	Hs_rand	E
Hs_rnd_gnm9_1294725	0	40	Hs_rand	H
Hs_rnd_gnm9_1294725	37	40	Hs_rand	L
Hs_rnd_gnm9_83134	19	57	Hs_rand	E
Hs_rnd_gnm9_83134	23	57	Hs_rand	H
Hs_rnd_gnm9_83134	15	57	Hs_rand	L
ENSP00000297819	14	244	Hs_ps13-17	E
ENSP00000297819	72	244	Hs_ps13-17	H
ENSP00000297819	158	244	Hs_ps13-17	L
None_protein639925	7	65	Hs_igen	E
None_protein639925	3	65	Hs_igen	H
None_protein639925	55	65	Hs_igen	L
vdp2013_S4_748	0	59	Hs_ps31	E
vdp2013_S4_748	0	59	Hs_ps31	H
vdp2013_S4_748	59	59	Hs_ps31	L
vdp2013_S4_749	5	85	Hs_ps31	E
vdp2013_S4_749	6	85	Hs_ps31	H
vdp2013_S4_749	74	85	Hs_ps31	L
vdp2013_S4_746	0	48	Hs_ps31	E
vdp2013_S4_746	29	48	Hs_ps31	H
vdp2013_S4_746	19	48	Hs_ps31	L
vdp2013_S4_747	23	86	Hs_ps31	E
vdp2013_S4_747	18	86	Hs_ps31	H
vdp2013_S4_747	45	86	Hs_ps31	L
vdp2013_S4_744	25	44	Hs_ps31	E
vdp2013_S4_744	0	44	Hs_ps31	H
vdp2013_S4_744	19	44	Hs_ps31	L
Raj_Hs_247	6	53	Hs_ps31	E
Raj_Hs_247	24	53	Hs_ps31	H
Raj_Hs_247	23	53	Hs_ps31	L
None_protein468543	7	73	Hs_igen	E
None_protein468543	10	73	Hs_igen	H
None_protein468543	56	73	Hs_igen	L
vdp2013_S4_743	0	138	Hs_ps31	E
vdp2013_S4_743	0	138	Hs_ps31	H
vdp2013_S4_743	138	138	Hs_ps31	L
vdp2013_S4_740	0	57	Hs_ps31	E
vdp2013_S4_740	25	57	Hs_ps31	H
vdp2013_S4_740	32	57	Hs_ps31	L
ENSP00000492557	5	150	Hs_ps20-21	E
ENSP00000492557	15	150	Hs_ps20-21	H
ENSP00000492557	130	150	Hs_ps20-21	L
ENSP00000492552	0	76	Hs_ps31	E
ENSP00000492552	36	76	Hs_ps31	H
ENSP00000492552	40	76	Hs_ps31	L
None_protein643574	27	57	Hs_igen	E
None_protein643574	6	57	Hs_igen	H
None_protein643574	24	57	Hs_igen	L
Hs_rnd_gnm8_807364	7	43	Hs_rand	E
Hs_rnd_gnm8_807364	16	43	Hs_rand	H
Hs_rnd_gnm8_807364	20	43	Hs_rand	L
Raj_Hs_2732	28	77	Hs_ps31	E
Raj_Hs_2732	10	77	Hs_ps31	H
Raj_Hs_2732	39	77	Hs_ps31	L
ENSP00000346892	17	110	Hs_ps1-2	E
ENSP00000346892	36	110	Hs_ps1-2	H
ENSP00000346892	57	110	Hs_ps1-2	L
None_protein432568	10	65	Hs_igen	E
None_protein432568	8	65	Hs_igen	H
None_protein432568	47	65	Hs_igen	L
None_protein147279	15	51	Hs_igen	E
None_protein147279	3	51	Hs_igen	H
None_protein147279	33	51	Hs_igen	L
ENSP00000309606	9	720	Hs_ps1-2	E
ENSP00000309606	147	720	Hs_ps1-2	H
ENSP00000309606	564	720	Hs_ps1-2	L
None_protein497919	3	46	Hs_igen	E
None_protein497919	26	46	Hs_igen	H
None_protein497919	17	46	Hs_igen	L
None_protein1052685	3	48	Hs_igen	E
None_protein1052685	16	48	Hs_igen	H
None_protein1052685	29	48	Hs_igen	L
ENSP00000455298	0	625	Hs_ps13-17	E
ENSP00000455298	599	625	Hs_ps13-17	H
ENSP00000455298	26	625	Hs_ps13-17	L
Hs_rnd_gnm5_1020755	13	73	Hs_rand	E
Hs_rnd_gnm5_1020755	10	73	Hs_rand	H
Hs_rnd_gnm5_1020755	50	73	Hs_rand	L
Hs_rnd_gnm6_1141737	32	131	Hs_rand	E
Hs_rnd_gnm6_1141737	14	131	Hs_rand	H
Hs_rnd_gnm6_1141737	85	131	Hs_rand	L
ENSP00000270642	167	336	Hs_ps1-2	E
ENSP00000270642	0	336	Hs_ps1-2	H
ENSP00000270642	169	336	Hs_ps1-2	L
None_protein755365	10	53	Hs_igen	E
None_protein755365	21	53	Hs_igen	H
None_protein755365	22	53	Hs_igen	L
ENSP00000486361	6	148	Hs_ps1-2	E
ENSP00000486361	63	148	Hs_ps1-2	H
ENSP00000486361	79	148	Hs_ps1-2	L
ENSP00000331327	43	517	Hs_ps1-2	E
ENSP00000331327	33	517	Hs_ps1-2	H
ENSP00000331327	441	517	Hs_ps1-2	L
None_protein322690	14	98	Hs_igen	E
None_protein322690	3	98	Hs_igen	H
None_protein322690	81	98	Hs_igen	L
ENSP00000256460	46	370	Hs_ps1-2	E
ENSP00000256460	137	370	Hs_ps1-2	H
ENSP00000256460	187	370	Hs_ps1-2	L
ENSP00000422896	63	439	Hs_ps1-2	E
ENSP00000422896	226	439	Hs_ps1-2	H
ENSP00000422896	150	439	Hs_ps1-2	L
None_protein1275034	15	81	Hs_igen	E
None_protein1275034	7	81	Hs_igen	H
None_protein1275034	59	81	Hs_igen	L
None_protein249477	0	51	Hs_igen	E
None_protein249477	0	51	Hs_igen	H
None_protein249477	51	51	Hs_igen	L
Hs_rnd_gnm3_815423	14	48	Hs_rand	E
Hs_rnd_gnm3_815423	8	48	Hs_rand	H
Hs_rnd_gnm3_815423	26	48	Hs_rand	L
None_protein936819	9	44	Hs_igen	E
None_protein936819	24	44	Hs_igen	H
None_protein936819	11	44	Hs_igen	L
Hs_rnd_gnm6_91522	20	52	Hs_rand	E
Hs_rnd_gnm6_91522	11	52	Hs_rand	H
Hs_rnd_gnm6_91522	21	52	Hs_rand	L
ENSP00000332433	2	491	Hs_ps1-2	E
ENSP00000332433	151	491	Hs_ps1-2	H
ENSP00000332433	338	491	Hs_ps1-2	L
None_protein711353	28	108	Hs_igen	E
None_protein711353	21	108	Hs_igen	H
None_protein711353	59	108	Hs_igen	L
ENSP00000301956	127	577	Hs_ps1-2	E
ENSP00000301956	175	577	Hs_ps1-2	H
ENSP00000301956	275	577	Hs_ps1-2	L
None_protein321932	3	53	Hs_igen	E
None_protein321932	38	53	Hs_igen	H
None_protein321932	12	53	Hs_igen	L
Hs_JP201901_58	17	66	Hs_ps31	E
Hs_JP201901_58	16	66	Hs_ps31	H
Hs_JP201901_58	33	66	Hs_ps31	L
Hs_rnd_gnm4_915412	14	92	Hs_rand	E
Hs_rnd_gnm4_915412	47	92	Hs_rand	H
Hs_rnd_gnm4_915412	31	92	Hs_rand	L
Hs_rnd_gnm6_1156623	21	87	Hs_rand	E
Hs_rnd_gnm6_1156623	7	87	Hs_rand	H
Hs_rnd_gnm6_1156623	59	87	Hs_rand	L
ENSP00000479919	20	394	Hs_ps1-2	E
ENSP00000479919	232	394	Hs_ps1-2	H
ENSP00000479919	142	394	Hs_ps1-2	L
None_protein362339	22	53	Hs_igen	E
None_protein362339	0	53	Hs_igen	H
None_protein362339	31	53	Hs_igen	L
Hs_rnd_gnm8_346499	0	47	Hs_rand	E
Hs_rnd_gnm8_346499	34	47	Hs_rand	H
Hs_rnd_gnm8_346499	13	47	Hs_rand	L
None_protein504230	0	46	Hs_igen	E
None_protein504230	4	46	Hs_igen	H
None_protein504230	42	46	Hs_igen	L
None_protein1197513	19	73	Hs_igen	E
None_protein1197513	4	73	Hs_igen	H
None_protein1197513	50	73	Hs_igen	L
Raj_Hs_3298	4	51	Hs_ps31	E
Raj_Hs_3298	0	51	Hs_ps31	H
Raj_Hs_3298	47	51	Hs_ps31	L
ENSP00000371394	120	401	Hs_ps1-2	E
ENSP00000371394	28	401	Hs_ps1-2	H
ENSP00000371394	253	401	Hs_ps1-2	L
None_protein1059477	10	56	Hs_igen	E
None_protein1059477	0	56	Hs_igen	H
None_protein1059477	46	56	Hs_igen	L
None_protein902906	21	64	Hs_igen	E
None_protein902906	0	64	Hs_igen	H
None_protein902906	43	64	Hs_igen	L
ENSP00000343314	6	92	Hs_ps13-17	E
ENSP00000343314	32	92	Hs_ps13-17	H
ENSP00000343314	54	92	Hs_ps13-17	L
ENSP00000325508	28	147	Hs_ps20-21	E
ENSP00000325508	15	147	Hs_ps20-21	H
ENSP00000325508	104	147	Hs_ps20-21	L
ENSP00000476795	126	597	Hs_ps1-2	E
ENSP00000476795	159	597	Hs_ps1-2	H
ENSP00000476795	312	597	Hs_ps1-2	L
vdp2013_S4_1254	29	93	Hs_ps31	E
vdp2013_S4_1254	33	93	Hs_ps31	H
vdp2013_S4_1254	31	93	Hs_ps31	L
vdp2013_S4_1255	36	71	Hs_ps20-21	E
vdp2013_S4_1255	0	71	Hs_ps20-21	H
vdp2013_S4_1255	35	71	Hs_ps20-21	L
vdp2013_S4_1256	13	66	Hs_ps31	E
vdp2013_S4_1256	30	66	Hs_ps31	H
vdp2013_S4_1256	23	66	Hs_ps31	L
None_protein671243	18	49	Hs_igen	E
None_protein671243	10	49	Hs_igen	H
None_protein671243	21	49	Hs_igen	L
vdp2013_S4_1250	4	46	Hs_ps31	E
vdp2013_S4_1250	4	46	Hs_ps31	H
vdp2013_S4_1250	38	46	Hs_ps31	L
Hs_rnd_gnm5_595867	21	42	Hs_rand	E
Hs_rnd_gnm5_595867	0	42	Hs_rand	H
Hs_rnd_gnm5_595867	21	42	Hs_rand	L
vdp2013_S4_1252	45	331	Hs_ps31	E
vdp2013_S4_1252	19	331	Hs_ps31	H
vdp2013_S4_1252	267	331	Hs_ps31	L
ENSP00000273173	30	594	Hs_ps1-2	E
ENSP00000273173	351	594	Hs_ps1-2	H
ENSP00000273173	213	594	Hs_ps1-2	L
Hs_rnd_gnm1_838118	34	84	Hs_rand	E
Hs_rnd_gnm1_838118	8	84	Hs_rand	H
Hs_rnd_gnm1_838118	42	84	Hs_rand	L
None_protein1253647	10	46	Hs_igen	E
None_protein1253647	9	46	Hs_igen	H
None_protein1253647	27	46	Hs_igen	L
None_protein938424	19	82	Hs_igen	E
None_protein938424	38	82	Hs_igen	H
None_protein938424	25	82	Hs_igen	L
Hs_rnd_gnm4_889818	28	89	Hs_rand	E
Hs_rnd_gnm4_889818	3	89	Hs_rand	H
Hs_rnd_gnm4_889818	58	89	Hs_rand	L
vdp2013_S4_672	11	64	Hs_ps31	E
vdp2013_S4_672	11	64	Hs_ps31	H
vdp2013_S4_672	42	64	Hs_ps31	L
ENSP00000431719	17	309	Hs_ps13-17	E
ENSP00000431719	230	309	Hs_ps13-17	H
ENSP00000431719	62	309	Hs_ps13-17	L
ENSP00000265713	89	2004	Hs_ps1-2	E
ENSP00000265713	174	2004	Hs_ps1-2	H
ENSP00000265713	1741	2004	Hs_ps1-2	L
None_protein351769	2	55	Hs_igen	E
None_protein351769	42	55	Hs_igen	H
None_protein351769	11	55	Hs_igen	L
Hs_rnd_gnm6_1012444	28	87	Hs_rand	E
Hs_rnd_gnm6_1012444	18	87	Hs_rand	H
Hs_rnd_gnm6_1012444	41	87	Hs_rand	L
None_protein421780	19	188	Hs_igen	E
None_protein421780	52	188	Hs_igen	H
None_protein421780	117	188	Hs_igen	L
Hs_rnd_gnm6_724613	27	53	Hs_rand	E
Hs_rnd_gnm6_724613	0	53	Hs_rand	H
Hs_rnd_gnm6_724613	26	53	Hs_rand	L
Hs_rnd_gnm9_569915	11	76	Hs_rand	E
Hs_rnd_gnm9_569915	35	76	Hs_rand	H
Hs_rnd_gnm9_569915	30	76	Hs_rand	L
None_protein124704	14	69	Hs_igen	E
None_protein124704	19	69	Hs_igen	H
None_protein124704	36	69	Hs_igen	L
ENSP00000418112	266	1445	Hs_ps1-2	E
ENSP00000418112	243	1445	Hs_ps1-2	H
ENSP00000418112	936	1445	Hs_ps1-2	L
ENSP00000364700	47	421	Hs_ps1-2	E
ENSP00000364700	143	421	Hs_ps1-2	H
ENSP00000364700	231	421	Hs_ps1-2	L
ENSP00000325546	16	500	Hs_ps1-2	E
ENSP00000325546	114	500	Hs_ps1-2	H
ENSP00000325546	370	500	Hs_ps1-2	L
None_protein584100	14	46	Hs_igen	E
None_protein584100	13	46	Hs_igen	H
None_protein584100	19	46	Hs_igen	L
ENSP00000292853	60	283	Hs_ps1-2	E
ENSP00000292853	42	283	Hs_ps1-2	H
ENSP00000292853	181	283	Hs_ps1-2	L
Raj_Hs_3121	6	57	Hs_ps31	E
Raj_Hs_3121	10	57	Hs_ps31	H
Raj_Hs_3121	41	57	Hs_ps31	L
Hs_rnd_gnm10_1159428	6	84	Hs_rand	E
Hs_rnd_gnm10_1159428	49	84	Hs_rand	H
Hs_rnd_gnm10_1159428	29	84	Hs_rand	L
Raj_Hs_3124	12	64	Hs_ps31	E
Raj_Hs_3124	0	64	Hs_ps31	H
Raj_Hs_3124	52	64	Hs_ps31	L
None_protein253302	6	41	Hs_igen	E
None_protein253302	15	41	Hs_igen	H
None_protein253302	20	41	Hs_igen	L
ENSP00000348442	10	456	Hs_ps1-2	E
ENSP00000348442	332	456	Hs_ps1-2	H
ENSP00000348442	114	456	Hs_ps1-2	L
None_protein888835	3	92	Hs_igen	E
None_protein888835	49	92	Hs_igen	H
None_protein888835	40	92	Hs_igen	L
Raj_Hs_2653	0	41	Hs_ps31	E
Raj_Hs_2653	25	41	Hs_ps31	H
Raj_Hs_2653	16	41	Hs_ps31	L
None_protein645238	9	68	Hs_igen	E
None_protein645238	14	68	Hs_igen	H
None_protein645238	45	68	Hs_igen	L
None_protein1125472	0	114	Hs_igen	E
None_protein1125472	19	114	Hs_igen	H
None_protein1125472	95	114	Hs_igen	L
ENSP00000369921	365	1762	Hs_ps1-2	E
ENSP00000369921	21	1762	Hs_ps1-2	H
ENSP00000369921	1376	1762	Hs_ps1-2	L
ENSP00000263710	0	1538	Hs_ps1-2	E
ENSP00000263710	600	1538	Hs_ps1-2	H
ENSP00000263710	938	1538	Hs_ps1-2	L
None_protein818871	25	100	Hs_igen	E
None_protein818871	0	100	Hs_igen	H
None_protein818871	75	100	Hs_igen	L
Hs_rnd_gnm3_1240315	47	91	Hs_rand	E
Hs_rnd_gnm3_1240315	17	91	Hs_rand	H
Hs_rnd_gnm3_1240315	27	91	Hs_rand	L
Hs_rnd_gnm4_329910	34	73	Hs_rand	E
Hs_rnd_gnm4_329910	0	73	Hs_rand	H
Hs_rnd_gnm4_329910	39	73	Hs_rand	L
Raj_Hs_1298	0	45	Hs_ps31	E
Raj_Hs_1298	0	45	Hs_ps31	H
Raj_Hs_1298	45	45	Hs_ps31	L
Hs_rnd_gnm6_838460	25	74	Hs_rand	E
Hs_rnd_gnm6_838460	8	74	Hs_rand	H
Hs_rnd_gnm6_838460	41	74	Hs_rand	L
Raj_Hs_1290	7	76	Hs_ps31	E
Raj_Hs_1290	5	76	Hs_ps31	H
Raj_Hs_1290	64	76	Hs_ps31	L
ENSP00000455042	16	237	Hs_ps1-2	E
ENSP00000455042	148	237	Hs_ps1-2	H
ENSP00000455042	73	237	Hs_ps1-2	L
Hs_rnd_gnm1_21071	4	42	Hs_rand	E
Hs_rnd_gnm1_21071	36	42	Hs_rand	H
Hs_rnd_gnm1_21071	2	42	Hs_rand	L
None_protein573854	13	123	Hs_igen	E
None_protein573854	65	123	Hs_igen	H
None_protein573854	45	123	Hs_igen	L
Hs_rnd_gnm8_971343	13	69	Hs_rand	E
Hs_rnd_gnm8_971343	18	69	Hs_rand	H
Hs_rnd_gnm8_971343	38	69	Hs_rand	L
ENSP00000333208	12	121	Hs_ps13-17	E
ENSP00000333208	30	121	Hs_ps13-17	H
ENSP00000333208	79	121	Hs_ps13-17	L
None_protein1063825	14	80	Hs_igen	E
None_protein1063825	18	80	Hs_igen	H
None_protein1063825	48	80	Hs_igen	L
Hs_rnd_gnm3_651026	5	51	Hs_rand	E
Hs_rnd_gnm3_651026	28	51	Hs_rand	H
Hs_rnd_gnm3_651026	18	51	Hs_rand	L
None_protein76200	16	41	Hs_igen	E
None_protein76200	0	41	Hs_igen	H
None_protein76200	25	41	Hs_igen	L
ENSP00000369075	39	599	Hs_ps1-2	E
ENSP00000369075	180	599	Hs_ps1-2	H
ENSP00000369075	380	599	Hs_ps1-2	L
ENSP00000310260	78	887	Hs_ps1-2	E
ENSP00000310260	244	887	Hs_ps1-2	H
ENSP00000310260	565	887	Hs_ps1-2	L
ENSP00000167106	54	365	Hs_ps1-2	E
ENSP00000167106	99	365	Hs_ps1-2	H
ENSP00000167106	212	365	Hs_ps1-2	L
None_protein527399	0	65	Hs_igen	E
None_protein527399	48	65	Hs_igen	H
None_protein527399	17	65	Hs_igen	L
None_protein356513	7	50	Hs_igen	E
None_protein356513	16	50	Hs_igen	H
None_protein356513	27	50	Hs_igen	L
Hs_rnd_gnm8_695484	5	65	Hs_rand	E
Hs_rnd_gnm8_695484	24	65	Hs_rand	H
Hs_rnd_gnm8_695484	36	65	Hs_rand	L
ENSP00000344801	31	661	Hs_ps1-2	E
ENSP00000344801	305	661	Hs_ps1-2	H
ENSP00000344801	325	661	Hs_ps1-2	L
Raj_Hs_1075	17	160	Hs_ps31	E
Raj_Hs_1075	26	160	Hs_ps31	H
Raj_Hs_1075	117	160	Hs_ps31	L
ENSP00000402855	84	311	Hs_ps13-17	E
ENSP00000402855	21	311	Hs_ps13-17	H
ENSP00000402855	206	311	Hs_ps13-17	L
ENSP00000361580	18	315	Hs_ps1-2	E
ENSP00000361580	57	315	Hs_ps1-2	H
ENSP00000361580	240	315	Hs_ps1-2	L
Raj_Hs_1072	12	43	Hs_ps31	E
Raj_Hs_1072	16	43	Hs_ps31	H
Raj_Hs_1072	15	43	Hs_ps31	L
Hs_rnd_gnm6_581574	29	41	Hs_rand	E
Hs_rnd_gnm6_581574	0	41	Hs_rand	H
Hs_rnd_gnm6_581574	12	41	Hs_rand	L
None_protein413399	2	43	Hs_igen	E
None_protein413399	33	43	Hs_igen	H
None_protein413399	8	43	Hs_igen	L
None_protein1135946	21	72	Hs_igen	E
None_protein1135946	0	72	Hs_igen	H
None_protein1135946	51	72	Hs_igen	L
None_protein782184	15	60	Hs_igen	E
None_protein782184	26	60	Hs_igen	H
None_protein782184	19	60	Hs_igen	L
Raj_Hs_379	9	119	Hs_ps31	E
Raj_Hs_379	48	119	Hs_ps31	H
Raj_Hs_379	62	119	Hs_ps31	L
Hs_JP201901_136	13	95	Hs_ps31	E
Hs_JP201901_136	7	95	Hs_ps31	H
Hs_JP201901_136	75	95	Hs_ps31	L
ENSP00000380635	51	197	Hs_ps1-2	E
ENSP00000380635	81	197	Hs_ps1-2	H
ENSP00000380635	65	197	Hs_ps1-2	L
vdp2013_S4_242	8	48	Hs_ps31	E
vdp2013_S4_242	24	48	Hs_ps31	H
vdp2013_S4_242	16	48	Hs_ps31	L
