protein	number_letter	pfam_domain	domain_length	group	letter
ENSP00000382323	38	PF08742.10	64	Hs_ps1-2	L
ENSP00000382323	2	PF08742.10	59	Hs_ps1-2	E
ENSP00000382323	21	PF08742.10	59	Hs_ps1-2	H
ENSP00000382323	36	PF08742.10	59	Hs_ps1-2	L
ENSP00000382323	4	PF08742.10	67	Hs_ps1-2	E
ENSP00000382323	29	PF08742.10	67	Hs_ps1-2	H
ENSP00000382323	34	PF08742.10	67	Hs_ps1-2	L
ENSP00000382323	0	PF08742.10	61	Hs_ps1-2	E
ENSP00000382323	0	PF08742.10	61	Hs_ps1-2	H
ENSP00000382323	61	PF08742.10	61	Hs_ps1-2	L
ENSP00000487358	107	PF12736.6	247	Hs_ps1-2	E
ENSP00000487358	14	PF12736.6	247	Hs_ps1-2	H
ENSP00000487358	126	PF12736.6	247	Hs_ps1-2	L
ENSP00000487358	102	PF12736.6	247	Hs_ps1-2	E
ENSP00000487358	14	PF12736.6	247	Hs_ps1-2	H
ENSP00000487358	131	PF12736.6	247	Hs_ps1-2	L
ENSP00000299441	46	PF00028.16	94	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	94	Hs_ps1-2	H
ENSP00000299441	48	PF00028.16	94	Hs_ps1-2	L
ENSP00000299441	49	PF00028.16	92	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	92	Hs_ps1-2	H
ENSP00000299441	43	PF00028.16	92	Hs_ps1-2	L
ENSP00000299441	46	PF00028.16	88	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	88	Hs_ps1-2	H
ENSP00000299441	42	PF00028.16	88	Hs_ps1-2	L
ENSP00000299441	45	PF00028.16	86	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	86	Hs_ps1-2	H
ENSP00000299441	41	PF00028.16	86	Hs_ps1-2	L
ENSP00000299441	43	PF00028.16	87	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	87	Hs_ps1-2	H
ENSP00000299441	44	PF00028.16	87	Hs_ps1-2	L
ENSP00000299441	50	PF00028.16	90	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	90	Hs_ps1-2	H
ENSP00000299441	40	PF00028.16	90	Hs_ps1-2	L
ENSP00000299441	46	PF00028.16	88	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	88	Hs_ps1-2	H
ENSP00000299441	42	PF00028.16	88	Hs_ps1-2	L
ENSP00000299441	46	PF00028.16	83	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	83	Hs_ps1-2	H
ENSP00000299441	37	PF00028.16	83	Hs_ps1-2	L
ENSP00000299441	49	PF00028.16	90	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	90	Hs_ps1-2	H
ENSP00000299441	41	PF00028.16	90	Hs_ps1-2	L
ENSP00000299441	50	PF00028.16	89	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	89	Hs_ps1-2	H
ENSP00000299441	39	PF00028.16	89	Hs_ps1-2	L
ENSP00000299441	49	PF00028.16	88	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	88	Hs_ps1-2	H
ENSP00000299441	39	PF00028.16	88	Hs_ps1-2	L
ENSP00000299441	44	PF00028.16	91	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000299441	47	PF00028.16	91	Hs_ps1-2	L
ENSP00000299441	48	PF00028.16	87	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	87	Hs_ps1-2	H
ENSP00000299441	39	PF00028.16	87	Hs_ps1-2	L
ENSP00000299441	51	PF00028.16	88	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	88	Hs_ps1-2	H
ENSP00000299441	37	PF00028.16	88	Hs_ps1-2	L
ENSP00000299441	47	PF00028.16	88	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	88	Hs_ps1-2	H
ENSP00000299441	41	PF00028.16	88	Hs_ps1-2	L
ENSP00000299441	48	PF00028.16	90	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	90	Hs_ps1-2	H
ENSP00000299441	42	PF00028.16	90	Hs_ps1-2	L
ENSP00000299441	41	PF00028.16	75	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	75	Hs_ps1-2	H
ENSP00000299441	34	PF00028.16	75	Hs_ps1-2	L
ENSP00000299441	50	PF00028.16	91	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000299441	41	PF00028.16	91	Hs_ps1-2	L
ENSP00000299441	44	PF00028.16	82	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	82	Hs_ps1-2	H
ENSP00000299441	38	PF00028.16	82	Hs_ps1-2	L
ENSP00000299441	47	PF00028.16	91	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000299441	44	PF00028.16	91	Hs_ps1-2	L
ENSP00000299441	53	PF00028.16	106	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	106	Hs_ps1-2	H
ENSP00000299441	53	PF00028.16	106	Hs_ps1-2	L
ENSP00000299441	49	PF00028.16	89	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	89	Hs_ps1-2	H
ENSP00000299441	40	PF00028.16	89	Hs_ps1-2	L
ENSP00000299441	47	PF00028.16	91	Hs_ps1-2	E
ENSP00000299441	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000299441	44	PF00028.16	91	Hs_ps1-2	L
ENSP00000224721	39	PF00028.16	70	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	70	Hs_ps1-2	H
ENSP00000224721	31	PF00028.16	70	Hs_ps1-2	L
ENSP00000224721	42	PF00028.16	82	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	82	Hs_ps1-2	H
ENSP00000224721	40	PF00028.16	82	Hs_ps1-2	L
ENSP00000224721	50	PF00028.16	95	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	95	Hs_ps1-2	H
ENSP00000224721	45	PF00028.16	95	Hs_ps1-2	L
ENSP00000224721	47	PF00028.16	86	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	86	Hs_ps1-2	H
ENSP00000224721	39	PF00028.16	86	Hs_ps1-2	L
ENSP00000224721	49	PF00028.16	95	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	95	Hs_ps1-2	H
ENSP00000224721	46	PF00028.16	95	Hs_ps1-2	L
ENSP00000224721	52	PF00028.16	92	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	92	Hs_ps1-2	H
ENSP00000224721	40	PF00028.16	92	Hs_ps1-2	L
ENSP00000224721	52	PF00028.16	94	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	94	Hs_ps1-2	H
ENSP00000224721	42	PF00028.16	94	Hs_ps1-2	L
ENSP00000224721	51	PF00028.16	90	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	90	Hs_ps1-2	H
ENSP00000224721	39	PF00028.16	90	Hs_ps1-2	L
ENSP00000224721	52	PF00028.16	91	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000224721	39	PF00028.16	91	Hs_ps1-2	L
ENSP00000224721	51	PF00028.16	91	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000224721	40	PF00028.16	91	Hs_ps1-2	L
ENSP00000224721	46	PF00028.16	85	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	85	Hs_ps1-2	H
ENSP00000224721	39	PF00028.16	85	Hs_ps1-2	L
ENSP00000224721	51	PF00028.16	91	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000224721	40	PF00028.16	91	Hs_ps1-2	L
ENSP00000224721	49	PF00028.16	92	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	92	Hs_ps1-2	H
ENSP00000224721	43	PF00028.16	92	Hs_ps1-2	L
ENSP00000224721	52	PF00028.16	91	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000224721	39	PF00028.16	91	Hs_ps1-2	L
ENSP00000224721	46	PF00028.16	84	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	84	Hs_ps1-2	H
ENSP00000224721	38	PF00028.16	84	Hs_ps1-2	L
ENSP00000224721	51	PF00028.16	90	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	90	Hs_ps1-2	H
ENSP00000224721	39	PF00028.16	90	Hs_ps1-2	L
ENSP00000224721	43	PF00028.16	78	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	78	Hs_ps1-2	H
ENSP00000224721	35	PF00028.16	78	Hs_ps1-2	L
ENSP00000224721	48	PF00028.16	88	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	88	Hs_ps1-2	H
ENSP00000224721	40	PF00028.16	88	Hs_ps1-2	L
ENSP00000224721	45	PF00028.16	88	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	88	Hs_ps1-2	H
ENSP00000224721	43	PF00028.16	88	Hs_ps1-2	L
ENSP00000224721	47	PF00028.16	88	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	88	Hs_ps1-2	H
ENSP00000224721	41	PF00028.16	88	Hs_ps1-2	L
ENSP00000224721	46	PF00028.16	90	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	90	Hs_ps1-2	H
ENSP00000224721	44	PF00028.16	90	Hs_ps1-2	L
ENSP00000224721	47	PF00028.16	86	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	86	Hs_ps1-2	H
ENSP00000224721	39	PF00028.16	86	Hs_ps1-2	L
ENSP00000224721	45	PF00028.16	85	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	85	Hs_ps1-2	H
ENSP00000224721	40	PF00028.16	85	Hs_ps1-2	L
ENSP00000224721	42	PF00028.16	78	Hs_ps1-2	E
ENSP00000224721	0	PF00028.16	78	Hs_ps1-2	H
ENSP00000224721	36	PF00028.16	78	Hs_ps1-2	L
ENSP00000261944	39	PF00028.16	71	Hs_ps1-2	E
ENSP00000261944	0	PF00028.16	71	Hs_ps1-2	H
ENSP00000261944	32	PF00028.16	71	Hs_ps1-2	L
ENSP00000261944	49	PF00028.16	94	Hs_ps1-2	E
ENSP00000261944	0	PF00028.16	94	Hs_ps1-2	H
ENSP00000261944	45	PF00028.16	94	Hs_ps1-2	L
ENSP00000261944	49	PF00028.16	91	Hs_ps1-2	E
ENSP00000261944	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000261944	42	PF00028.16	91	Hs_ps1-2	L
ENSP00000261944	50	PF00028.16	96	Hs_ps1-2	E
ENSP00000261944	0	PF00028.16	96	Hs_ps1-2	H
ENSP00000261944	46	PF00028.16	96	Hs_ps1-2	L
ENSP00000261944	49	PF00028.16	96	Hs_ps1-2	E
ENSP00000261944	0	PF00028.16	96	Hs_ps1-2	H
ENSP00000261944	47	PF00028.16	96	Hs_ps1-2	L
ENSP00000261944	45	PF00028.16	101	Hs_ps1-2	E
ENSP00000261944	0	PF00028.16	101	Hs_ps1-2	H
ENSP00000261944	56	PF00028.16	101	Hs_ps1-2	L
ENSP00000312070	43	PF00028.16	92	Hs_ps1-2	E
ENSP00000312070	0	PF00028.16	92	Hs_ps1-2	H
ENSP00000312070	49	PF00028.16	92	Hs_ps1-2	L
ENSP00000312070	51	PF00028.16	93	Hs_ps1-2	E
ENSP00000312070	0	PF00028.16	93	Hs_ps1-2	H
ENSP00000312070	42	PF00028.16	93	Hs_ps1-2	L
ENSP00000312070	47	PF00028.16	86	Hs_ps1-2	E
ENSP00000312070	0	PF00028.16	86	Hs_ps1-2	H
ENSP00000312070	39	PF00028.16	86	Hs_ps1-2	L
ENSP00000312070	54	PF00028.16	96	Hs_ps1-2	E
ENSP00000312070	0	PF00028.16	96	Hs_ps1-2	H
ENSP00000312070	42	PF00028.16	96	Hs_ps1-2	L
ENSP00000312070	47	PF00028.16	81	Hs_ps1-2	E
ENSP00000312070	0	PF00028.16	81	Hs_ps1-2	H
ENSP00000312070	34	PF00028.16	81	Hs_ps1-2	L
ENSP00000274170	44	PF00028.16	82	Hs_ps1-2	E
ENSP00000274170	0	PF00028.16	82	Hs_ps1-2	H
ENSP00000274170	38	PF00028.16	82	Hs_ps1-2	L
ENSP00000274170	50	PF00028.16	93	Hs_ps1-2	E
ENSP00000274170	0	PF00028.16	93	Hs_ps1-2	H
ENSP00000274170	43	PF00028.16	93	Hs_ps1-2	L
ENSP00000274170	46	PF00028.16	79	Hs_ps1-2	E
ENSP00000274170	0	PF00028.16	79	Hs_ps1-2	H
ENSP00000274170	33	PF00028.16	79	Hs_ps1-2	L
ENSP00000274170	52	PF00028.16	91	Hs_ps1-2	E
ENSP00000274170	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000274170	39	PF00028.16	91	Hs_ps1-2	L
ENSP00000274170	53	PF00028.16	97	Hs_ps1-2	E
ENSP00000274170	0	PF00028.16	97	Hs_ps1-2	H
ENSP00000274170	44	PF00028.16	97	Hs_ps1-2	L
ENSP00000458570	42	PF00028.16	91	Hs_ps1-2	E
ENSP00000458570	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000458570	49	PF00028.16	91	Hs_ps1-2	L
ENSP00000458570	52	PF00028.16	91	Hs_ps1-2	E
ENSP00000458570	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000458570	39	PF00028.16	91	Hs_ps1-2	L
ENSP00000458570	48	PF00028.16	87	Hs_ps1-2	E
ENSP00000458570	0	PF00028.16	87	Hs_ps1-2	H
ENSP00000458570	39	PF00028.16	87	Hs_ps1-2	L
ENSP00000458570	51	PF00028.16	95	Hs_ps1-2	E
ENSP00000458570	0	PF00028.16	95	Hs_ps1-2	H
ENSP00000458570	44	PF00028.16	95	Hs_ps1-2	L
ENSP00000458570	46	PF00028.16	82	Hs_ps1-2	E
ENSP00000458570	0	PF00028.16	82	Hs_ps1-2	H
ENSP00000458570	36	PF00028.16	82	Hs_ps1-2	L
ENSP00000239449	50	PF00028.16	93	Hs_ps1-2	E
ENSP00000239449	0	PF00028.16	93	Hs_ps1-2	H
ENSP00000239449	43	PF00028.16	93	Hs_ps1-2	L
ENSP00000239449	51	PF00028.16	90	Hs_ps1-2	E
ENSP00000239449	0	PF00028.16	90	Hs_ps1-2	H
ENSP00000239449	39	PF00028.16	90	Hs_ps1-2	L
ENSP00000239449	46	PF00028.16	85	Hs_ps1-2	E
ENSP00000239449	0	PF00028.16	85	Hs_ps1-2	H
ENSP00000239449	39	PF00028.16	85	Hs_ps1-2	L
ENSP00000239449	53	PF00028.16	96	Hs_ps1-2	E
ENSP00000239449	0	PF00028.16	96	Hs_ps1-2	H
ENSP00000239449	43	PF00028.16	96	Hs_ps1-2	L
ENSP00000239449	45	PF00028.16	81	Hs_ps1-2	E
ENSP00000239449	0	PF00028.16	81	Hs_ps1-2	H
ENSP00000239449	36	PF00028.16	81	Hs_ps1-2	L
ENSP00000478606	46	PF00028.16	92	Hs_ps1-2	E
ENSP00000478606	0	PF00028.16	92	Hs_ps1-2	H
ENSP00000478606	46	PF00028.16	92	Hs_ps1-2	L
ENSP00000478606	50	PF00028.16	91	Hs_ps1-2	E
ENSP00000478606	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000478606	41	PF00028.16	91	Hs_ps1-2	L
ENSP00000478606	47	PF00028.16	86	Hs_ps1-2	E
ENSP00000478606	0	PF00028.16	86	Hs_ps1-2	H
ENSP00000478606	39	PF00028.16	86	Hs_ps1-2	L
ENSP00000478606	53	PF00028.16	96	Hs_ps1-2	E
ENSP00000478606	0	PF00028.16	96	Hs_ps1-2	H
ENSP00000478606	43	PF00028.16	96	Hs_ps1-2	L
ENSP00000478606	45	PF00028.16	81	Hs_ps1-2	E
ENSP00000478606	0	PF00028.16	81	Hs_ps1-2	H
ENSP00000478606	36	PF00028.16	81	Hs_ps1-2	L
ENSP00000436042	42	PF00028.16	91	Hs_ps1-2	E
ENSP00000436042	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000436042	49	PF00028.16	91	Hs_ps1-2	L
ENSP00000436042	52	PF00028.16	93	Hs_ps1-2	E
ENSP00000436042	0	PF00028.16	93	Hs_ps1-2	H
ENSP00000436042	41	PF00028.16	93	Hs_ps1-2	L
ENSP00000436042	49	PF00028.16	88	Hs_ps1-2	E
ENSP00000436042	0	PF00028.16	88	Hs_ps1-2	H
ENSP00000436042	39	PF00028.16	88	Hs_ps1-2	L
ENSP00000436042	54	PF00028.16	96	Hs_ps1-2	E
ENSP00000436042	0	PF00028.16	96	Hs_ps1-2	H
ENSP00000436042	42	PF00028.16	96	Hs_ps1-2	L
ENSP00000436042	47	PF00028.16	81	Hs_ps1-2	E
ENSP00000436042	0	PF00028.16	81	Hs_ps1-2	H
ENSP00000436042	34	PF00028.16	81	Hs_ps1-2	L
ENSP00000352785	48	PF00028.16	91	Hs_ps1-2	E
ENSP00000352785	0	PF00028.16	91	Hs_ps1-2	H
ENSP00000352785	43	PF00028.16	91	Hs_ps1-2	L
ENSP00000352785	51	PF00028.16	98	Hs_ps1-2	E
ENSP00000352785	0	PF00028.16	98	Hs_ps1-2	H
ENSP00000352785	47	PF00028.16	98	Hs_ps1-2	L
ENSP00000352785	48	PF00028.16	102	Hs_ps1-2	E
ENSP00000352785	0	PF00028.16	102	Hs_ps1-2	H
ENSP00000352785	54	PF00028.16	102	Hs_ps1-2	L
ENSP00000352785	45	PF00028.16	81	Hs_ps1-2	E
ENSP00000352785	3	PF00028.16	81	Hs_ps1-2	H
ENSP00000352785	33	PF00028.16	81	Hs_ps1-2	L
ENSP00000391409	51	PF00028.16	92	Hs_ps1-2	E
ENSP00000391409	0	PF00028.16	92	Hs_ps1-2	H
ENSP00000391409	41	PF00028.16	92	Hs_ps1-2	L
ENSP00000347942	38	PF00028.16	83	Hs_ps1-2	E
ENSP00000347942	3	PF00028.16	83	Hs_ps1-2	H
ENSP00000347942	42	PF00028.16	83	Hs_ps1-2	L
ENSP00000366513	52	PF00028.16	88	Hs_ps1-2	E
ENSP00000366513	0	PF00028.16	88	Hs_ps1-2	H
ENSP00000366513	36	PF00028.16	88	Hs_ps1-2	L
ENSP00000239449	42	PF08266.11	81	Hs_ps1-2	E
ENSP00000239449	4	PF08266.11	81	Hs_ps1-2	H
ENSP00000239449	35	PF08266.11	81	Hs_ps1-2	L
ENSP00000478606	40	PF08266.11	80	Hs_ps1-2	E
ENSP00000478606	3	PF08266.11	80	Hs_ps1-2	H
ENSP00000478606	37	PF08266.11	80	Hs_ps1-2	L
ENSP00000458570	42	PF08266.11	82	Hs_ps1-2	E
ENSP00000458570	0	PF08266.11	82	Hs_ps1-2	H
ENSP00000458570	40	PF08266.11	82	Hs_ps1-2	L
ENSP00000312070	43	PF08266.11	81	Hs_ps1-2	E
ENSP00000312070	0	PF08266.11	81	Hs_ps1-2	H
ENSP00000312070	38	PF08266.11	81	Hs_ps1-2	L
ENSP00000436042	45	PF08266.11	81	Hs_ps1-2	E
ENSP00000436042	0	PF08266.11	81	Hs_ps1-2	H
ENSP00000436042	36	PF08266.11	81	Hs_ps1-2	L
ENSP00000312506	38	PF16184.4	88	Hs_ps1-2	E
ENSP00000312506	0	PF16184.4	88	Hs_ps1-2	H
ENSP00000312506	50	PF16184.4	88	Hs_ps1-2	L
ENSP00000312506	52	PF16184.4	107	Hs_ps1-2	E
ENSP00000312506	0	PF16184.4	107	Hs_ps1-2	H
ENSP00000312506	55	PF16184.4	107	Hs_ps1-2	L
ENSP00000312506	30	PF16184.4	84	Hs_ps1-2	E
ENSP00000312506	0	PF16184.4	84	Hs_ps1-2	H
ENSP00000312506	54	PF16184.4	84	Hs_ps1-2	L
ENSP00000312506	36	PF16184.4	100	Hs_ps1-2	E
ENSP00000312506	0	PF16184.4	100	Hs_ps1-2	H
ENSP00000312506	64	PF16184.4	100	Hs_ps1-2	L
ENSP00000312506	45	PF16184.4	101	Hs_ps1-2	E
ENSP00000312506	0	PF16184.4	101	Hs_ps1-2	H
ENSP00000312506	56	PF16184.4	101	Hs_ps1-2	L
ENSP00000312506	51	PF16184.4	106	Hs_ps1-2	E
ENSP00000312506	0	PF16184.4	106	Hs_ps1-2	H
ENSP00000312506	55	PF16184.4	106	Hs_ps1-2	L
ENSP00000312506	36	PF16184.4	97	Hs_ps1-2	E
ENSP00000312506	0	PF16184.4	97	Hs_ps1-2	H
ENSP00000312506	61	PF16184.4	97	Hs_ps1-2	L
ENSP00000312506	38	PF16184.4	100	Hs_ps1-2	E
ENSP00000312506	0	PF16184.4	100	Hs_ps1-2	H
ENSP00000312506	62	PF16184.4	100	Hs_ps1-2	L
ENSP00000312506	23	PF16184.4	54	Hs_ps1-2	E
ENSP00000312506	0	PF16184.4	54	Hs_ps1-2	H
ENSP00000312506	31	PF16184.4	54	Hs_ps1-2	L
ENSP00000312506	52	PF16184.4	107	Hs_ps1-2	E
ENSP00000312506	0	PF16184.4	107	Hs_ps1-2	H
ENSP00000312506	55	PF16184.4	107	Hs_ps1-2	L
ENSP00000312506	27	PF16184.4	77	Hs_ps1-2	E
ENSP00000312506	0	PF16184.4	77	Hs_ps1-2	H
ENSP00000312506	50	PF16184.4	77	Hs_ps1-2	L
ENSP00000312506	37	PF16184.4	99	Hs_ps1-2	E
ENSP00000312506	0	PF16184.4	99	Hs_ps1-2	H
ENSP00000312506	62	PF16184.4	99	Hs_ps1-2	L
ENSP00000312506	48	PF16184.4	107	Hs_ps1-2	E
ENSP00000312506	0	PF16184.4	107	Hs_ps1-2	H
ENSP00000312506	59	PF16184.4	107	Hs_ps1-2	L
ENSP00000312506	32	PF16184.4	67	Hs_ps1-2	E
ENSP00000312506	0	PF16184.4	67	Hs_ps1-2	H
ENSP00000312506	35	PF16184.4	67	Hs_ps1-2	L
ENSP00000326330	5	PF16184.4	96	Hs_ps1-2	E
ENSP00000326330	0	PF16184.4	96	Hs_ps1-2	H
ENSP00000326330	91	PF16184.4	96	Hs_ps1-2	L
ENSP00000326330	45	PF16184.4	102	Hs_ps1-2	E
ENSP00000326330	0	PF16184.4	102	Hs_ps1-2	H
ENSP00000326330	57	PF16184.4	102	Hs_ps1-2	L
ENSP00000326330	42	PF16184.4	122	Hs_ps1-2	E
ENSP00000326330	0	PF16184.4	122	Hs_ps1-2	H
ENSP00000326330	80	PF16184.4	122	Hs_ps1-2	L
ENSP00000326330	33	PF16184.4	94	Hs_ps1-2	E
ENSP00000326330	0	PF16184.4	94	Hs_ps1-2	H
ENSP00000326330	61	PF16184.4	94	Hs_ps1-2	L
ENSP00000326330	42	PF16184.4	113	Hs_ps1-2	E
ENSP00000326330	0	PF16184.4	113	Hs_ps1-2	H
ENSP00000326330	71	PF16184.4	113	Hs_ps1-2	L
ENSP00000326330	44	PF16184.4	113	Hs_ps1-2	E
ENSP00000326330	0	PF16184.4	113	Hs_ps1-2	H
ENSP00000326330	69	PF16184.4	113	Hs_ps1-2	L
ENSP00000326330	45	PF16184.4	120	Hs_ps1-2	E
ENSP00000326330	0	PF16184.4	120	Hs_ps1-2	H
ENSP00000326330	75	PF16184.4	120	Hs_ps1-2	L
ENSP00000274170	28	PF01049.16	146	Hs_ps1-2	E
ENSP00000274170	15	PF01049.16	146	Hs_ps1-2	H
ENSP00000274170	103	PF01049.16	146	Hs_ps1-2	L
ENSP00000352785	6	PF01049.16	64	Hs_ps1-2	E
ENSP00000352785	15	PF01049.16	64	Hs_ps1-2	H
ENSP00000352785	43	PF01049.16	64	Hs_ps1-2	L
ENSP00000239449	30	PF16492.4	83	Hs_ps1-2	E
ENSP00000239449	13	PF16492.4	83	Hs_ps1-2	H
ENSP00000239449	40	PF16492.4	83	Hs_ps1-2	L
ENSP00000478606	27	PF16492.4	82	Hs_ps1-2	E
ENSP00000478606	15	PF16492.4	82	Hs_ps1-2	H
ENSP00000478606	40	PF16492.4	82	Hs_ps1-2	L
ENSP00000458570	41	PF16492.4	82	Hs_ps1-2	E
ENSP00000458570	0	PF16492.4	82	Hs_ps1-2	H
ENSP00000458570	41	PF16492.4	82	Hs_ps1-2	L
ENSP00000312070	39	PF16492.4	81	Hs_ps1-2	E
ENSP00000312070	5	PF16492.4	81	Hs_ps1-2	H
ENSP00000312070	37	PF16492.4	81	Hs_ps1-2	L
ENSP00000436042	38	PF16492.4	74	Hs_ps1-2	E
ENSP00000436042	0	PF16492.4	74	Hs_ps1-2	H
ENSP00000436042	36	PF16492.4	74	Hs_ps1-2	L
ENSP00000436042	11	PF15974.4	133	Hs_ps1-2	E
ENSP00000436042	0	PF15974.4	133	Hs_ps1-2	H
ENSP00000436042	122	PF15974.4	133	Hs_ps1-2	L
ENSP00000312070	15	PF15974.4	118	Hs_ps1-2	E
ENSP00000312070	0	PF15974.4	118	Hs_ps1-2	H
ENSP00000312070	103	PF15974.4	118	Hs_ps1-2	L
ENSP00000458570	9	PF15974.4	118	Hs_ps1-2	E
ENSP00000458570	7	PF15974.4	118	Hs_ps1-2	H
ENSP00000458570	102	PF15974.4	118	Hs_ps1-2	L
ENSP00000305223	28	PF04847.11	168	Hs_ps1-2	E
ENSP00000305223	30	PF04847.11	168	Hs_ps1-2	H
ENSP00000305223	110	PF04847.11	168	Hs_ps1-2	L
ENSP00000381758	50	PF01067.21	147	Hs_ps1-2	E
ENSP00000381758	0	PF01067.21	147	Hs_ps1-2	H
ENSP00000381758	97	PF01067.21	147	Hs_ps1-2	L
ENSP00000253693	43	PF01067.21	106	Hs_ps1-2	E
ENSP00000253693	0	PF01067.21	106	Hs_ps1-2	H
ENSP00000253693	63	PF01067.21	106	Hs_ps1-2	L
ENSP00000273368	4	PF00402.17	24	Hs_ps1-2	E
ENSP00000273368	0	PF00402.17	24	Hs_ps1-2	H
ENSP00000273368	20	PF00402.17	24	Hs_ps1-2	L
ENSP00000278968	5	PF00402.17	24	Hs_ps1-2	E
ENSP00000278968	0	PF00402.17	24	Hs_ps1-2	H
ENSP00000278968	19	PF00402.17	24	Hs_ps1-2	L
ENSP00000425824	11	PF08332.9	127	Hs_ps1-2	E
ENSP00000425824	24	PF08332.9	127	Hs_ps1-2	H
ENSP00000425824	92	PF08332.9	127	Hs_ps1-2	L
ENSP00000410298	23	PF08332.9	127	Hs_ps1-2	E
ENSP00000410298	0	PF08332.9	127	Hs_ps1-2	H
ENSP00000410298	104	PF08332.9	127	Hs_ps1-2	L
ENSP00000280191	0	PF11971.7	67	Hs_ps1-2	E
ENSP00000280191	43	PF11971.7	67	Hs_ps1-2	H
ENSP00000280191	24	PF11971.7	67	Hs_ps1-2	L
ENSP00000312671	3	PF11971.7	38	Hs_ps1-2	E
ENSP00000312671	13	PF11971.7	38	Hs_ps1-2	H
ENSP00000312671	22	PF11971.7	38	Hs_ps1-2	L
ENSP00000482890	23	PF00188.25	128	Hs_ps1-2	E
ENSP00000482890	38	PF00188.25	128	Hs_ps1-2	H
ENSP00000482890	67	PF00188.25	128	Hs_ps1-2	L
ENSP00000341044	125	PF01039.21	553	Hs_ps1-2	E
ENSP00000341044	189	PF01039.21	553	Hs_ps1-2	H
ENSP00000341044	239	PF01039.21	553	Hs_ps1-2	L
ENSP00000483300	128	PF01039.21	553	Hs_ps1-2	E
ENSP00000483300	178	PF01039.21	553	Hs_ps1-2	H
ENSP00000483300	247	PF01039.21	553	Hs_ps1-2	L
ENSP00000370883	31	PF13620.5	73	Hs_ps1-2	E
ENSP00000370883	0	PF13620.5	73	Hs_ps1-2	H
ENSP00000370883	42	PF13620.5	73	Hs_ps1-2	L
ENSP00000359446	45	PF13620.5	74	Hs_ps1-2	E
ENSP00000359446	0	PF13620.5	74	Hs_ps1-2	H
ENSP00000359446	29	PF13620.5	74	Hs_ps1-2	L
