protein	age	num_domains	total_domain_length	protein_length
Hs_rnd_gnm1_1226385	Hs_rand	0	0	129
vdp2013_S4_173	Hs_ps31	0	0	75
Hs_rnd_gnm7_1035133	Hs_rand	0	0	47
Hs_rnd_gnm2_356298	Hs_rand	0	0	91
ENSP00000343103	Hs_ps1-2	1	59	692
Raj_Hs_2465	Hs_ps31	0	0	50
ENSP00000312304	Hs_ps1-2	1	219	245
Raj_Hs_2460	Hs_ps31	0	0	57
Hs_rnd_gnm2_477953	Hs_rand	0	0	40
None_protein21297	Hs_igen	0	0	116
ENSP00000273962	Hs_ps1-2	1	165	339
None_protein48003	Hs_igen	0	0	51
None_protein944593	Hs_igen	0	0	86
None_protein1194958	Hs_igen	0	0	81
ENSP00000366637	Hs_ps1-2	1	84	416
ENSP00000265963	Hs_ps1-2	2	133	548
Hs_rnd_gnm9_769934	Hs_rand	0	0	47
None_protein988302	Hs_igen	0	0	44
ENSP00000295685	Hs_ps1-2	1	226	300
vdp2013_S4_308	Hs_ps31	0	0	61
ENSP00000490119	Hs_ps1-2	1	167	2495
ENSP00000481347	Hs_ps13-17	0	0	224
None_protein142305	Hs_igen	0	0	63
None_protein935365	Hs_igen	0	0	52
ENSP00000415769	Hs_ps1-2	5	477	890
None_protein929909	Hs_igen	0	0	42
ENSP00000365014	Hs_ps1-2	1	98	156
ENSP00000304643	Hs_ps1-2	6	112	181
ENSP00000423325	Hs_ps1-2	4	396	849
Hs_rnd_gnm2_780223	Hs_rand	0	0	57
ENSP00000327786	Hs_ps13-17	2	232	350
Hs_rnd_gnm8_259996	Hs_rand	0	0	63
vdp2013_S4_166	Hs_ps31	0	0	76
vdp2013_S4_164	Hs_ps31	0	0	50
vdp2013_S4_165	Hs_ps31	0	0	94
vdp2013_S4_162	Hs_ps31	0	0	44
vdp2013_S4_163	Hs_ps31	0	0	99
None_protein290708	Hs_igen	0	0	107
vdp2013_S4_169	Hs_ps31	0	0	47
None_protein460808	Hs_igen	0	0	42
ENSP00000479362	Hs_ps20-21	1	137	522
ENSP00000348108	Hs_ps1-2	3	162	346
ENSP00000258829	Hs_ps1-2	1	56	239
ENSP00000256722	Hs_ps1-2	2	180	449
ENSP00000350633	Hs_ps13-17	1	34	236
None_protein660185	Hs_igen	0	0	70
Hs_rnd_gnm10_64516	Hs_rand	0	0	44
ENSP00000217188	Hs_ps1-2	4	374	488
Hs_rnd_gnm10_132037	Hs_rand	0	0	62
vdp2013_S4_702	Hs_ps31	0	0	75
None_protein484690	Hs_igen	0	0	41
vdp2013_S4_701	Hs_ps31	0	0	41
vdp2013_S4_704	Hs_ps31	0	0	48
vdp2013_S4_705	Hs_ps31	0	0	40
vdp2013_S4_709	Hs_ps31	0	0	66
ENSP00000462521	Hs_ps1-2	2	265	391
None_protein24661	Hs_igen	0	0	104
ENSP00000271385	Hs_ps1-2	1	135	1158
None_protein180994	Hs_igen	0	0	78
None_protein440825	Hs_igen	0	0	40
ENSP00000309640	Hs_ps1-2	1	155	393
Hs_rnd_gnm7_578019	Hs_rand	0	0	64
ENSP00000309649	Hs_ps1-2	1	254	305
ENSP00000387180	Hs_ps1-2	1	114	180
Raj_Hs_1486	Hs_ps31	0	0	120
Hs_rnd_gnm1_55704	Hs_rand	0	0	95
None_protein249126	Hs_igen	0	0	55
None_protein745470	Hs_igen	0	0	50
Raj_Hs_1732	Hs_ps31	0	0	42
Raj_Hs_438	Hs_ps31	0	0	71
ENSP00000372272	Hs_ps31	1	56	63
ENSP00000317027	Hs_ps1-2	1	268	453
hsa_00119633_1	Hs_ps31	0	0	52
Raj_Hs_431	Hs_ps31	0	0	56
Raj_Hs_1739	Hs_ps31	0	0	93
ENSP00000372278	Hs_ps31	0	0	44
Raj_Hs_124	Hs_ps31	0	0	41
Raj_Hs_121	Hs_ps31	0	0	43
ENSP00000370813	Hs_ps1-2	2	110	183
ENSP00000406674	Hs_ps1-2	1	294	335
vdp2013_S4_928	Hs_ps31	0	0	60
ENSP00000291592	Hs_ps1-2	4	95	257
ENSP00000352846	Hs_ps1-2	26	436	903
Hs_rnd_gnm1_592373	Hs_rand	0	0	42
vdp2013_S4_716	Hs_ps31	0	0	72
None_protein32868	Hs_igen	0	0	68
ENSP00000405899	Hs_ps1-2	1	173	307
None_protein248526	Hs_igen	0	0	97
None_protein803075	Hs_igen	0	0	89
ENSP00000339179	Hs_ps1-2	2	278	338
None_protein736077	Hs_igen	0	0	50
Hs_rnd_gnm5_440383	Hs_rand	0	0	42
ENSP00000393312	Hs_ps1-2	11	530	853
ENSP00000353465	Hs_ps13-17	2	358	416
ENSP00000420321	Hs_ps1-2	23	686	1651
Hs_JP201901_55	Hs_ps31	0	0	62
Hs_JP201901_54	Hs_ps31	0	0	63
Hs_JP201901_57	Hs_ps1-2	0	0	131
Hs_JP201901_51	Hs_ps31	0	0	74
ENSP00000335292	Hs_ps13-17	1	119	128
ENSP00000287461	Hs_ps1-2	13	260	500
Hs_rnd_gnm6_631537	Hs_rand	0	0	41
ENSP00000405095	Hs_ps13-17	1	290	338
vdp2013_S4_1210	Hs_ps20-21	0	0	115
vdp2013_S4_1212	Hs_ps13-17	0	0	76
vdp2013_S4_1214	Hs_ps31	0	0	43
vdp2013_S4_1215	Hs_ps31	0	0	42
vdp2013_S4_1216	Hs_ps20-21	0	0	87
vdp2013_S4_1217	Hs_ps31	0	0	68
vdp2013_S4_1219	Hs_ps31	0	0	99
ENSP00000375267	Hs_ps1-2	1	111	113
None_protein421073	Hs_igen	0	0	62
ENSP00000339356	Hs_ps13-17	1	94	409
Hs_rnd_gnm5_1096773	Hs_rand	0	0	106
ENSP00000302938	Hs_ps20-21	0	0	93
ENSP00000385036	Hs_ps13-17	1	110	114
Hs_rnd_gnm3_1275171	Hs_rand	0	0	98
ENSP00000362387	Hs_ps1-2	1	236	294
Hs_rnd_gnm1_1291616	Hs_rand	0	0	54
Hs_rnd_gnm10_712371	Hs_rand	0	0	57
Raj_Hs_2072	Hs_ps31	0	0	51
Hs_rnd_gnm3_1162537	Hs_rand	0	0	150
ENSP00000368389	Hs_ps1-2	1	218	291
None_protein720655	Hs_igen	0	0	66
ENSP00000300961	Hs_ps20-21	1	62	331
ENSP00000344668	Hs_ps1-2	6	421	736
ENSP00000344666	Hs_ps1-2	4	508	595
Hs_rnd_gnm5_861915	Hs_rand	0	0	88
Hs_rnd_gnm9_1113922	Hs_rand	0	0	93
ENSP00000286733	Hs_ps1-2	2	225	359
None_protein678880	Hs_igen	1	52	88
Hs_rnd_gnm8_1067977	Hs_rand	0	0	79
Hs_rnd_gnm7_753037	Hs_rand	0	0	77
ENSP00000262462	Hs_ps1-2	2	500	619
ENSP00000262461	Hs_ps1-2	4	966	1212
ENSP00000216115	Hs_ps20-21	1	158	160
Raj_Hs_2617	Hs_ps31	0	0	59
None_protein537063	Hs_igen	0	0	61
Raj_Hs_2619	Hs_ps31	0	0	75
ENSP00000210313	Hs_ps1-2	1	503	504
ENSP00000484893	Hs_ps13-17	0	0	54
ENSP00000491342	Hs_ps20-21	0	0	107
ENSP00000334181	Hs_ps1-2	2	150	523
ENSP00000263754	Hs_ps1-2	4	426	832
ENSP00000334187	Hs_ps31	2	91	118
ENSP00000485033	Hs_ps1-2	6	1107	1886
ENSP00000307342	Hs_ps1-2	3	384	890
None_protein200010	Hs_igen	0	0	79
Hs_rnd_gnm2_763379	Hs_rand	0	0	80
None_protein315741	Hs_igen	0	0	78
None_protein1109770	Hs_igen	0	0	69
ENSP00000229195	Hs_ps1-2	1	123	540
Hs_rnd_gnm7_807580	Hs_rand	0	0	57
ENSP00000334985	Hs_ps31	1	65	72
Hs_rnd_gnm1_1101078	Hs_rand	0	0	81
Raj_Hs_2	Hs_ps31	0	0	45
Raj_Hs_8	Hs_ps31	0	0	124
ENSP00000234195	Hs_ps1-2	0	0	573
None_protein730040	Hs_igen	0	0	62
Hs_rnd_gnm5_1236729	Hs_rand	0	0	417
None_protein1276271	Hs_igen	0	0	125
Raj_Hs_1031	Hs_ps31	0	0	69
ENSP00000490666	Hs_ps13-17	0	0	85
Raj_Hs_1035	Hs_ps31	0	0	47
Raj_Hs_1034	Hs_ps31	0	0	121
Hs_rnd_gnm1_867624	Hs_rand	0	0	76
Hs_rnd_gnm9_1244905	Hs_rand	0	0	120
vdp2013_S4_1046	Hs_ps31	0	0	134
None_protein987449	Hs_igen	0	0	77
Raj_Hs_339	Hs_ps31	0	0	48
ENSP00000383474	Hs_ps13-17	0	0	122
Raj_Hs_847	Hs_ps31	0	0	47
vdp2013_S4_579	Hs_ps31	0	0	40
vdp2013_S4_578	Hs_ps31	0	0	48
None_protein96991	Hs_igen	0	0	85
vdp2013_S4_571	Hs_ps31	0	0	53
vdp2013_S4_570	Hs_ps31	0	0	59
vdp2013_S4_572	Hs_ps31	0	0	82
vdp2013_S4_575	Hs_ps13-17	0	0	64
None_protein645098	Hs_igen	0	0	75
vdp2013_S4_576	Hs_ps31	0	0	49
Hs_rnd_gnm6_1032856	Hs_rand	0	0	108
None_protein1006647	Hs_igen	0	0	53
ENSP00000381657	Hs_ps1-2	1	202	1537
None_protein1107746	Hs_igen	0	0	69
ENSP00000337180	Hs_ps1-2	2	340	448
ENSP00000320508	Hs_ps1-2	8	49	192
None_protein755889	Hs_igen	0	0	55
vdp2013_S4_1048	Hs_ps31	0	0	105
ENSP00000357778	Hs_ps31	1	73	92
ENSP00000357779	Hs_ps31	1	89	99
None_protein1264672	Hs_igen	0	0	41
ENSP00000357772	Hs_ps31	1	56	110
ENSP00000357773	Hs_ps31	1	56	110
ENSP00000357776	Hs_ps31	1	73	92
ENSP00000332116	Hs_ps1-2	1	241	736
ENSP00000258455	Hs_ps1-2	1	122	396
Hs_rnd_gnm6_1198759	Hs_rand	0	0	67
None_protein314834	Hs_igen	0	0	104
vdp2013_S4_1047	Hs_ps31	0	0	41
None_protein704374	Hs_igen	0	0	135
vdp2013_S4_1041	Hs_ps31	0	0	62
ENSP00000360874	Hs_ps1-2	4	118	474
Raj_Hs_845	Hs_ps31	0	0	107
Raj_Hs_597	Hs_ps31	0	0	47
vdp2013_S4_1049	Hs_ps31	0	0	188
Raj_Hs_591	Hs_ps20-21	0	0	107
Hs_rnd_gnm7_235873	Hs_rand	0	0	41
ENSP00000362650	Hs_ps1-2	1	492	629
vdp2013_S4_399	Hs_ps31	0	0	48
vdp2013_S4_395	Hs_ps13-17	0	0	50
vdp2013_S4_393	Hs_ps31	0	0	42
vdp2013_S4_392	Hs_ps31	0	0	56
Hs_rnd_gnm8_839977	Hs_rand	0	0	73
Hs_rnd_gnm8_228963	Hs_rand	0	0	76
None_protein1116788	Hs_igen	0	0	95
ENSP00000231668	Hs_ps1-2	1	90	271
None_protein471798	Hs_igen	0	0	53
None_protein346407	Hs_igen	0	0	70
None_protein993931	Hs_igen	0	0	52
ENSP00000302770	Hs_ps1-2	4	85	475
ENSP00000347714	Hs_ps13-17	0	0	287
Hs_rnd_gnm5_1059307	Hs_rand	0	0	67
None_protein1078114	Hs_igen	0	0	44
None_protein973968	Hs_igen	0	0	58
ENSP00000313258	Hs_ps1-2	5	122	1365
ENSP00000296273	Hs_ps1-2	4	248	363
ENSP00000350836	Hs_ps1-2	3	272	312
Hs_rnd_gnm4_956638	Hs_rand	0	0	51
Hs_rnd_gnm5_843054	Hs_rand	0	0	121
None_protein651290	Hs_igen	0	0	68
ENSP00000420195	Hs_ps1-2	1	69	262
ENSP00000479019	Hs_ps1-2	1	451	520
Hs_rnd_gnm10_700238	Hs_rand	0	0	112
ENSP00000458316	Hs_ps13-17	1	178	236
Hs_rnd_gnm5_799481	Hs_rand	0	0	61
vdp2013_S4_345	Hs_ps31	0	0	52
None_protein772841	Hs_igen	0	0	69
None_protein1265237	Hs_igen	0	0	85
ENSP00000394107	Hs_ps1-2	1	110	242
None_protein790722	Hs_igen	0	0	46
None_protein790724	Hs_igen	0	0	77
ENSP00000482836	Hs_ps1-2	3	142	293
Hs_rnd_gnm6_719434	Hs_rand	0	0	44
Hs_rnd_gnm1_968597	Hs_rand	0	0	84
ENSP00000383256	Hs_ps1-2	1	154	269
ENSP00000062104	Hs_ps20-21	0	0	81
ENSP00000278856	Hs_ps1-2	1	31	385
None_protein141962	Hs_igen	0	0	48
Hs_rnd_gnm6_332408	Hs_rand	0	0	52
ENSP00000324882	Hs_ps1-2	0	0	791
ENSP00000262259	Hs_ps1-2	14	326	711
ENSP00000419852	Hs_ps1-2	1	135	190
Hs_rnd_gnm9_917874	Hs_rand	0	0	61
None_protein1097415	Hs_igen	0	0	45
ENSP00000305918	Hs_ps1-2	3	231	726
Hs_JP201901_388	Hs_ps31	0	0	108
Hs_JP201901_381	Hs_ps31	0	0	156
Hs_JP201901_383	Hs_ps31	0	0	67
Hs_JP201901_386	Hs_ps20-21	0	0	66
None_protein216782	Hs_igen	0	0	55
ENSP00000371234	Hs_ps13-17	0	0	158
ENSP00000317790	Hs_ps1-2	29	2869	3674
None_protein912599	Hs_igen	0	0	42
Hs_rnd_gnm6_330370	Hs_rand	0	0	59
None_protein754980	Hs_igen	0	0	48
Raj_Hs_3068	Hs_ps31	0	0	59
ENSP00000478568	Hs_ps13-17	1	109	110
Raj_Hs_3060	Hs_ps31	0	0	71
Raj_Hs_3061	Hs_ps31	0	0	62
None_protein199534	Hs_igen	0	0	113
Raj_Hs_3066	Hs_ps31	0	0	56
Hs_rnd_gnm1_288467	Hs_rand	0	0	53
Hs_rnd_gnm2_612949	Hs_rand	0	0	64
None_protein1720	Hs_igen	0	0	108
Raj_Hs_2440	Hs_ps31	0	0	56
ENSP00000312671	Hs_ps1-2	4	384	1523
None_protein918145	Hs_igen	0	0	0
ENSP00000360120	Hs_ps1-2	8	549	937
Hs_rnd_gnm1_1113292	Hs_rand	0	0	334
Hs_rnd_gnm10_793181	Hs_rand	0	0	50
Hs_rnd_gnm3_1204570	Hs_rand	0	0	94
ENSP00000263326	Hs_ps13-17	1	100	218
ENSP00000381486	Hs_ps1-2	1	56	251
None_protein510976	Hs_igen	0	0	58
None_protein52884	Hs_igen	0	0	52
Hs_rnd_gnm2_1186286	Hs_rand	0	0	106
Hs_rnd_gnm2_1145676	Hs_rand	0	0	119
ENSP00000490139	Hs_ps13-17	1	127	204
Hs_rnd_gnm7_45051	Hs_rand	0	0	47
ENSP00000408204	Hs_ps20-21	1	277	288
ENSP00000430774	Hs_ps1-2	1	55	91
None_protein406588	Hs_igen	0	0	51
None_protein328054	Hs_igen	0	0	102
None_protein1269158	Hs_igen	0	0	140
Hs_rnd_gnm7_1134658	Hs_rand	0	0	68
None_protein880697	Hs_igen	0	0	49
None_protein425543	Hs_igen	0	0	50
Hs_rnd_gnm4_880682	Hs_rand	0	0	46
Hs_rnd_gnm5_955503	Hs_rand	0	0	40
Hs_rnd_gnm10_1065882	Hs_rand	0	0	77
None_protein298351	Hs_igen	0	0	46
None_protein154958	Hs_igen	0	0	44
Hs_rnd_gnm3_1062607	Hs_rand	0	0	74
Hs_rnd_gnm6_859924	Hs_rand	0	0	72
ENSP00000284073	Hs_ps1-2	2	132	328
ENSP00000408146	Hs_ps1-2	2	151	258
Hs_rnd_gnm6_296012	Hs_rand	0	0	86
None_protein313973	Hs_igen	0	0	44
Hs_rnd_gnm3_1129935	Hs_rand	0	0	89
Hs_rnd_gnm10_83841	Hs_rand	0	0	58
Raj_Hs_1931	Hs_ps31	0	0	66
ENSP00000354649	Hs_ps1-2	2	287	367
Raj_Hs_1938	Hs_ps31	0	0	78
ENSP00000222968	Hs_ps1-2	1	77	181
Hs_rnd_gnm5_1228919	Hs_rand	0	0	197
vdp2013_S4_140	Hs_ps31	0	0	40
vdp2013_S4_493	Hs_ps31	0	0	68
vdp2013_S4_143	Hs_ps31	0	0	45
vdp2013_S4_144	Hs_ps31	0	0	87
vdp2013_S4_497	Hs_ps31	0	0	59
vdp2013_S4_146	Hs_ps31	0	0	40
vdp2013_S4_147	Hs_ps31	0	0	45
vdp2013_S4_148	Hs_ps31	0	0	98
vdp2013_S4_499	Hs_ps31	0	0	56
None_protein664881	Hs_igen	0	0	80
ENSP00000492284	Hs_ps31	0	0	76
ENSP00000386376	Hs_ps31	1	56	81
ENSP00000433488	Hs_ps1-2	2	160	452
None_protein1128677	Hs_igen	0	0	41
None_protein916116	Hs_igen	0	0	64
ENSP00000417529	Hs_ps1-2	1	282	435
ENSP00000260129	Hs_ps1-2	4	156	853
None_protein355363	Hs_igen	0	0	40
Hs_rnd_gnm5_1139194	Hs_rand	0	0	81
Hs_rnd_gnm4_1109081	Hs_rand	0	0	104
Hs_rnd_gnm4_1249316	Hs_rand	0	0	52
Hs_rnd_gnm3_109735	Hs_rand	0	0	43
ENSP00000216027	Hs_ps1-2	1	72	235
Hs_rnd_gnm3_1007982	Hs_rand	0	0	49
ENSP00000264951	Hs_ps1-2	1	226	1706
ENSP00000361608	Hs_ps1-2	4	851	1492
Raj_Hs_2723	Hs_ps31	0	0	66
Hs_rnd_gnm5_722692	Hs_rand	0	0	47
None_protein1035242	Hs_igen	0	0	43
Hs_rnd_gnm4_950032	Hs_rand	0	0	60
Hs_rnd_gnm7_783491	Hs_rand	0	0	53
ENSP00000364543	Hs_ps1-2	4	675	1246
vdp2013_S4_120	Hs_ps31	0	0	49
ENSP00000349658	Hs_ps1-2	2	356	507
Hs_rnd_gnm4_1259748	Hs_rand	0	0	134
Hs_rnd_gnm10_133300	Hs_rand	0	0	44
Hs_rnd_gnm4_1259746	Hs_rand	0	0	74
ENSP00000352925	Hs_ps1-2	2	597	3859
Raj_Hs_458	Hs_ps31	0	0	87
Raj_Hs_1752	Hs_ps31	0	0	53
Raj_Hs_108	Hs_ps31	0	0	47
None_protein1006458	Hs_igen	0	0	47
None_protein345981	Hs_igen	0	0	41
Raj_Hs_456	Hs_ps31	0	0	57
Raj_Hs_103	Hs_ps31	0	0	49
Raj_Hs_1759	Hs_ps31	0	0	85
ENSP00000383223	Hs_ps20-21	5	192	271
Hs_rnd_gnm7_1137447	Hs_rand	0	0	94
ENSP00000383226	Hs_ps20-21	4	153	282
vdp2013_S4_725	Hs_ps31	0	0	79
vdp2013_S4_726	Hs_ps31	0	0	40
vdp2013_S4_727	Hs_ps31	0	0	43
vdp2013_S4_720	Hs_ps31	0	0	66
vdp2013_S4_722	Hs_ps31	0	0	57
vdp2013_S4_723	Hs_ps31	0	0	42
ENSP00000488568	Hs_ps13-17	0	0	373
ENSP00000353192	Hs_ps1-2	4	522	609
Hs_rnd_gnm5_223858	Hs_rand	0	0	58
None_protein1165809	Hs_igen	0	0	184
Hs_rnd_gnm2_1054685	Hs_rand	0	0	61
Hs_rnd_gnm8_1126156	Hs_rand	0	0	63
Hs_rnd_gnm2_856980	Hs_rand	0	0	61
vdp2013_S4_1181	Hs_ps31	0	0	0
ENSP00000435412	Hs_ps1-2	7	554	744
vdp2013_S4_1184	Hs_ps31	0	0	49
vdp2013_S4_1185	Hs_ps31	0	0	42
vdp2013_S4_1186	Hs_ps31	0	0	59
Hs_rnd_gnm6_53075	Hs_rand	0	0	52
Hs_rnd_gnm4_711023	Hs_rand	0	0	44
vdp2013_S4_1189	Hs_ps31	0	0	101
ENSP00000367360	Hs_ps31	0	0	179
ENSP00000359760	Hs_ps1-2	7	1256	1474
None_protein1102543	Hs_igen	0	0	140
None_protein730847	Hs_igen	0	0	40
ENSP00000366372	Hs_ps1-2	2	272	312
None_protein869996	Hs_igen	0	0	40
Hs_JP201901_75	Hs_ps31	0	0	42
Hs_JP201901_73	Hs_ps31	0	0	48
Hs_JP201901_72	Hs_ps31	0	0	78
Hs_rnd_gnm9_17547	Hs_rand	0	0	43
Hs_JP201901_79	Hs_ps31	0	0	43
ENSP00000485656	Hs_ps1-2	0	0	478
vdp2013_S4_1238	Hs_ps31	0	0	42
ENSP00000330433	Hs_ps1-2	1	46	247
vdp2013_S4_1232	Hs_ps31	0	0	41
Hs_JP201901_267	Hs_ps31	0	0	95
vdp2013_S4_1230	Hs_ps31	0	0	59
ENSP00000328335	Hs_ps13-17	1	64	83
vdp2013_S4_1236	Hs_ps20-21	0	0	87
Hs_rnd_gnm3_960677	Hs_rand	0	0	41
vdp2013_S4_1235	Hs_ps31	0	0	46
ENSP00000301246	Hs_ps20-21	1	104	106
Hs_rnd_gnm5_736847	Hs_rand	0	0	44
Hs_rnd_gnm7_334051	Hs_rand	0	0	67
ENSP00000482835	Hs_ps1-2	5	724	951
None_protein691	Hs_igen	0	0	96
ENSP00000357835	Hs_ps1-2	4	246	270
ENSP00000367770	Hs_ps1-2	1	309	331
vdp2013_S4_1226	Hs_ps13-17	0	0	172
ENSP00000303061	Hs_ps20-21	1	104	111
ENSP00000342609	Hs_ps1-2	1	248	275
Hs_rnd_gnm6_763753	Hs_rand	0	0	50
Raj_Hs_3271	Hs_ps31	0	0	141
None_protein697528	Hs_igen	0	0	69
Hs_rnd_gnm10_993572	Hs_rand	0	0	78
Raj_Hs_3279	Hs_ps31	0	0	105
Raj_Hs_2586	Hs_ps31	0	0	85
Hs_rnd_gnm6_840182	Hs_rand	0	0	59
Raj_Hs_2588	Hs_ps31	0	0	70
ENSP00000461413	Hs_ps1-2	14	199	522
ENSP00000311401	Hs_ps1-2	2	238	608
ENSP00000222511	Hs_ps1-2	3	231	387
None_protein720674	Hs_igen	6	142	307
Hs_rnd_gnm5_1066514	Hs_rand	0	0	56
ENSP00000354874	Hs_ps13-17	1	532	570
ENSP00000460823	Hs_ps1-2	2	214	476
None_protein511699	Hs_igen	0	0	79
Hs_rnd_gnm8_735326	Hs_rand	0	0	59
None_protein952328	Hs_igen	0	0	41
Hs_rnd_gnm7_829407	Hs_rand	0	0	74
Hs_rnd_gnm9_1038490	Hs_rand	0	0	44
Raj_Hs_2058	Hs_ps31	0	0	50
Hs_rnd_gnm3_918154	Hs_rand	0	0	50
Raj_Hs_2051	Hs_ps31	0	0	45
Raj_Hs_2056	Hs_ps31	0	0	72
ENSP00000238651	Hs_ps1-2	2	331	483
Raj_Hs_2055	Hs_ps31	0	0	47
Hs_rnd_gnm2_346386	Hs_rand	0	0	65
Raj_Hs_1239	Hs_ps31	0	0	42
None_protein638837	Hs_igen	0	0	145
None_protein950866	Hs_igen	0	0	127
Raj_Hs_1231	Hs_ps31	0	0	90
ENSP00000402995	Hs_ps13-17	1	53	121
ENSP00000354255	Hs_ps1-2	3	471	652
Hs_rnd_gnm7_468352	Hs_rand	0	0	43
None_protein567211	Hs_igen	0	0	95
None_protein117522	Hs_igen	0	0	40
None_protein143609	Hs_igen	0	0	88
Hs_rnd_gnm10_418624	Hs_rand	0	0	48
ENSP00000282878	Hs_ps1-2	4	161	227
Hs_rnd_gnm2_245041	Hs_rand	0	0	90
Raj_Hs_2635	Hs_ps31	0	0	69
Raj_Hs_2633	Hs_ps31	0	0	177
Raj_Hs_2630	Hs_ps31	0	0	64
Raj_Hs_2631	Hs_ps31	0	0	90
ENSP00000259873	Hs_ps1-2	1	51	258
ENSP00000259874	Hs_ps13-17	0	0	156
None_protein894842	Hs_igen	0	0	112
None_protein493204	Hs_igen	0	0	119
ENSP00000396415	Hs_ps1-2	2	141	454
ENSP00000359222	Hs_ps1-2	1	190	263
None_protein733015	Hs_igen	0	0	353
vdp2013_S4_553	Hs_ps31	0	0	43
ENSP00000341117	Hs_ps1-2	1	293	329
ENSP00000351209	Hs_ps1-2	9	733	976
vdp2013_S4_557	Hs_ps31	0	0	83
ENSP00000237247	Hs_ps1-2	1	265	859
Hs_rnd_gnm7_915112	Hs_rand	0	0	44
vdp2013_S4_554	Hs_ps31	0	0	50
vdp2013_S4_559	Hs_ps31	0	0	42
ENSP00000351206	Hs_ps1-2	1	307	684
ENSP00000320291	Hs_ps1-2	12	566	950
ENSP00000361383	Hs_ps1-2	0	0	176
ENSP00000357753	Hs_ps20-21	41	415	585
ENSP00000367172	Hs_ps13-17	1	93	199
ENSP00000357754	Hs_ps20-21	0	0	116
None_protein497561	Hs_igen	0	0	186
ENSP00000376333	Hs_ps1-2	2	118	1020
None_protein568299	Hs_igen	0	0	171
None_protein480968	Hs_igen	0	0	65
ENSP00000386787	Hs_ps1-2	1	83	1610
Hs_rnd_gnm6_1031299	Hs_rand	0	0	46
Hs_rnd_gnm8_22590	Hs_rand	0	0	55
ENSP00000382234	Hs_ps13-17	1	49	58
ENSP00000341652	Hs_ps1-2	1	114	557
ENSP00000382097	Hs_ps1-2	2	114	364
Hs_rnd_gnm6_69760	Hs_rand	0	0	40
ENSP00000334300	Hs_ps1-2	2	430	435
Raj_Hs_867	Hs_ps31	0	0	101
Raj_Hs_860	Hs_ps31	0	0	41
ENSP00000261888	Hs_ps1-2	1	169	323
ENSP00000299492	Hs_ps1-2	5	186	876
vdp2013_S4_805	Hs_ps31	0	0	40
vdp2013_S4_806	Hs_ps31	0	0	53
vdp2013_S4_800	Hs_ps31	0	0	65
vdp2013_S4_803	Hs_ps31	0	0	43
vdp2013_S4_809	Hs_ps31	0	0	53
vdp2013_S4_808	Hs_ps31	0	0	48
Raj_Hs_1853	Hs_ps31	0	0	55
ENSP00000301740	Hs_ps1-2	1	43	2752
None_protein557413	Hs_igen	0	0	104
None_protein958908	Hs_igen	0	0	61
ENSP00000341382	Hs_ps1-2	3	1187	1288
ENSP00000381921	Hs_ps31	0	0	127
Hs_rnd_gnm5_402442	Hs_rand	0	0	46
ENSP00000382323	Hs_ps1-2	10	1002	2925
ENSP00000465992	Hs_ps1-2	2	341	852
None_protein939073	Hs_igen	0	0	46
None_protein1234265	Hs_igen	0	0	73
ENSP00000380252	Hs_ps1-2	3	89	605
None_protein1102976	Hs_igen	0	0	42
Hs_rnd_gnm8_1007058	Hs_rand	0	0	86
None_protein1231946	Hs_igen	0	0	69
ENSP00000364486	Hs_ps1-2	1	185	339
ENSP00000371644	Hs_ps20-21	1	50	78
None_protein23704	Hs_igen	0	0	60
ENSP00000371640	Hs_ps20-21	1	28	66
ENSP00000371643	Hs_ps20-21	1	29	77
None_protein409349	Hs_igen	0	0	52
ENSP00000310832	Hs_ps1-2	2	266	484
None_protein1144698	Hs_igen	0	0	63
Hs_rnd_gnm3_472460	Hs_rand	0	0	50
ENSP00000489890	Hs_ps13-17	0	0	177
None_protein781554	Hs_igen	0	0	176
Hs_rnd_gnm9_723041	Hs_rand	0	0	44
ENSP00000339250	Hs_ps20-21	1	144	159
None_protein1045803	Hs_igen	0	0	55
ENSP00000332296	Hs_ps1-2	2	238	448
Raj_Hs_3240	Hs_ps31	0	0	45
None_protein73493	Hs_igen	0	0	102
ENSP00000335620	Hs_ps1-2	3	168	222
Hs_rnd_gnm8_1215560	Hs_rand	0	0	131
Hs_rnd_gnm1_160727	Hs_rand	0	0	58
ENSP00000442701	Hs_ps1-2	2	275	317
Raj_Hs_719	Hs_ps31	0	0	51
ENSP00000377527	Hs_ps1-2	7	959	1178
Raj_Hs_712	Hs_ps31	0	0	53
None_protein450543	Hs_igen	0	0	44
Raj_Hs_711	Hs_ps31	0	0	43
ENSP00000402346	Hs_ps1-2	4	771	871
ENSP00000313050	Hs_ps1-2	1	97	286
None_protein993370	Hs_igen	0	0	51
None_protein641961	Hs_igen	0	0	61
Hs_rnd_gnm4_392074	Hs_rand	0	0	54
ENSP00000442563	Hs_ps1-2	1	85	485
Hs_rnd_gnm3_998003	Hs_rand	0	0	40
Hs_rnd_gnm1_252322	Hs_rand	0	0	49
ENSP00000306900	Hs_ps13-17	2	142	176
ENSP00000251074	Hs_ps1-2	1	35	326
Raj_Hs_3040	Hs_ps31	0	0	127
Raj_Hs_3047	Hs_ps31	0	0	107
ENSP00000481542	Hs_ps1-2	17	726	1448
Hs_rnd_gnm10_266548	Hs_rand	0	0	42
None_protein1082423	Hs_igen	0	0	47
