protein	number_letter	stretch_num	length	group	letter
ENSP00000356621	0	2	3	Hs_ps1-2	L
ENSP00000356621	75	3	483	Hs_ps1-2	E
ENSP00000356621	200	3	483	Hs_ps1-2	H
ENSP00000356621	208	3	483	Hs_ps1-2	L
ENSP00000356621	0	4	145	Hs_ps1-2	E
ENSP00000356621	114	4	145	Hs_ps1-2	H
ENSP00000356621	31	4	145	Hs_ps1-2	L
Hs_rnd_gnm7_294821	4	1	49	Hs_rand	E
Hs_rnd_gnm7_294821	17	1	49	Hs_rand	H
Hs_rnd_gnm7_294821	28	1	49	Hs_rand	L
None_protein873477	9	1	43	Hs_igen	E
None_protein873477	17	1	43	Hs_igen	H
None_protein873477	17	1	43	Hs_igen	L
Hs_rnd_gnm8_381543	31	1	114	Hs_rand	E
Hs_rnd_gnm8_381543	29	1	114	Hs_rand	H
Hs_rnd_gnm8_381543	54	1	114	Hs_rand	L
ENSP00000296513	0	1	21	Hs_ps1-2	E
ENSP00000296513	8	1	21	Hs_ps1-2	H
ENSP00000296513	13	1	21	Hs_ps1-2	L
ENSP00000296513	13	2	112	Hs_ps1-2	E
ENSP00000296513	40	2	112	Hs_ps1-2	H
ENSP00000296513	59	2	112	Hs_ps1-2	L
ENSP00000296513	32	3	121	Hs_ps1-2	E
ENSP00000296513	36	3	121	Hs_ps1-2	H
ENSP00000296513	53	3	121	Hs_ps1-2	L
ENSP00000296513	23	4	210	Hs_ps1-2	E
ENSP00000296513	79	4	210	Hs_ps1-2	H
ENSP00000296513	108	4	210	Hs_ps1-2	L
ENSP00000228463	0	1	428	Hs_ps13-17	E
ENSP00000228463	0	1	428	Hs_ps13-17	H
ENSP00000228463	428	1	428	Hs_ps13-17	L
Hs_rnd_gnm7_1035133	18	1	47	Hs_rand	E
Hs_rnd_gnm7_1035133	9	1	47	Hs_rand	H
Hs_rnd_gnm7_1035133	20	1	47	Hs_rand	L
Hs_rnd_gnm2_356298	17	1	91	Hs_rand	E
Hs_rnd_gnm2_356298	35	1	91	Hs_rand	H
Hs_rnd_gnm2_356298	39	1	91	Hs_rand	L
ENSP00000343103	37	1	227	Hs_ps1-2	E
ENSP00000343103	70	1	227	Hs_ps1-2	H
ENSP00000343103	120	1	227	Hs_ps1-2	L
ENSP00000343103	134	2	431	Hs_ps1-2	E
ENSP00000343103	94	2	431	Hs_ps1-2	H
ENSP00000343103	203	2	431	Hs_ps1-2	L
Raj_Hs_2465	5	1	50	Hs_ps31	E
Raj_Hs_2465	5	1	50	Hs_ps31	H
Raj_Hs_2465	40	1	50	Hs_ps31	L
ENSP00000312304	34	1	245	Hs_ps1-2	E
ENSP00000312304	90	1	245	Hs_ps1-2	H
ENSP00000312304	121	1	245	Hs_ps1-2	L
Raj_Hs_2460	18	1	57	Hs_ps31	E
Raj_Hs_2460	20	1	57	Hs_ps31	H
Raj_Hs_2460	19	1	57	Hs_ps31	L
Hs_rnd_gnm8_1074978	22	1	104	Hs_rand	E
Hs_rnd_gnm8_1074978	24	1	104	Hs_rand	H
Hs_rnd_gnm8_1074978	58	1	104	Hs_rand	L
Hs_rnd_gnm5_646731	2	1	44	Hs_rand	E
Hs_rnd_gnm5_646731	15	1	44	Hs_rand	H
Hs_rnd_gnm5_646731	27	1	44	Hs_rand	L
Hs_rnd_gnm2_477953	14	1	40	Hs_rand	E
Hs_rnd_gnm2_477953	0	1	40	Hs_rand	H
Hs_rnd_gnm2_477953	26	1	40	Hs_rand	L
None_protein21297	7	1	116	Hs_igen	E
None_protein21297	23	1	116	Hs_igen	H
None_protein21297	86	1	116	Hs_igen	L
ENSP00000273962	27	1	298	Hs_ps1-2	E
ENSP00000273962	123	1	298	Hs_ps1-2	H
ENSP00000273962	148	1	298	Hs_ps1-2	L
None_protein48003	0	1	51	Hs_igen	E
None_protein48003	22	1	51	Hs_igen	H
None_protein48003	29	1	51	Hs_igen	L
None_protein944593	5	1	86	Hs_igen	E
None_protein944593	39	1	86	Hs_igen	H
None_protein944593	42	1	86	Hs_igen	L
None_protein1194958	19	1	81	Hs_igen	E
None_protein1194958	10	1	81	Hs_igen	H
None_protein1194958	52	1	81	Hs_igen	L
ENSP00000366637	7	1	306	Hs_ps1-2	E
ENSP00000366637	23	1	306	Hs_ps1-2	H
ENSP00000366637	276	1	306	Hs_ps1-2	L
ENSP00000265963	50	1	267	Hs_ps1-2	E
ENSP00000265963	120	1	267	Hs_ps1-2	H
ENSP00000265963	97	1	267	Hs_ps1-2	L
ENSP00000265963	5	2	248	Hs_ps1-2	E
ENSP00000265963	144	2	248	Hs_ps1-2	H
ENSP00000265963	99	2	248	Hs_ps1-2	L
Hs_rnd_gnm9_769934	9	1	47	Hs_rand	E
Hs_rnd_gnm9_769934	10	1	47	Hs_rand	H
Hs_rnd_gnm9_769934	28	1	47	Hs_rand	L
None_protein988302	9	1	44	Hs_igen	E
None_protein988302	4	1	44	Hs_igen	H
None_protein988302	31	1	44	Hs_igen	L
ENSP00000295685	63	1	300	Hs_ps1-2	E
ENSP00000295685	121	1	300	Hs_ps1-2	H
ENSP00000295685	116	1	300	Hs_ps1-2	L
Hs_JP201901_135	11	1	42	Hs_ps31	E
Hs_JP201901_135	16	1	42	Hs_ps31	H
Hs_JP201901_135	15	1	42	Hs_ps31	L
ENSP00000490119	6	1	154	Hs_ps1-2	E
ENSP00000490119	113	1	154	Hs_ps1-2	H
ENSP00000490119	35	1	154	Hs_ps1-2	L
ENSP00000490119	10	2	137	Hs_ps1-2	E
ENSP00000490119	61	2	137	Hs_ps1-2	H
ENSP00000490119	66	2	137	Hs_ps1-2	L
ENSP00000490119	0	3	49	Hs_ps1-2	E
ENSP00000490119	41	3	49	Hs_ps1-2	H
ENSP00000490119	8	3	49	Hs_ps1-2	L
ENSP00000490119	4	4	154	Hs_ps1-2	E
ENSP00000490119	107	4	154	Hs_ps1-2	H
ENSP00000490119	43	4	154	Hs_ps1-2	L
ENSP00000490119	8	5	396	Hs_ps1-2	E
ENSP00000490119	228	5	396	Hs_ps1-2	H
ENSP00000490119	160	5	396	Hs_ps1-2	L
ENSP00000490119	0	6	18	Hs_ps1-2	E
ENSP00000490119	18	6	18	Hs_ps1-2	H
ENSP00000490119	0	6	18	Hs_ps1-2	L
ENSP00000490119	26	7	57	Hs_ps1-2	E
ENSP00000490119	0	7	57	Hs_ps1-2	H
ENSP00000490119	31	7	57	Hs_ps1-2	L
ENSP00000490119	0	8	9	Hs_ps1-2	E
ENSP00000490119	9	8	9	Hs_ps1-2	H
ENSP00000490119	0	8	9	Hs_ps1-2	L
ENSP00000490119	0	9	10	Hs_ps1-2	E
ENSP00000490119	10	9	10	Hs_ps1-2	H
ENSP00000490119	0	9	10	Hs_ps1-2	L
ENSP00000490119	48	10	274	Hs_ps1-2	E
ENSP00000490119	75	10	274	Hs_ps1-2	H
ENSP00000490119	151	10	274	Hs_ps1-2	L
None_protein142305	5	1	63	Hs_igen	E
None_protein142305	31	1	63	Hs_igen	H
None_protein142305	27	1	63	Hs_igen	L
None_protein935365	13	1	52	Hs_igen	E
None_protein935365	10	1	52	Hs_igen	H
None_protein935365	29	1	52	Hs_igen	L
ENSP00000415769	186	1	605	Hs_ps1-2	E
ENSP00000415769	142	1	605	Hs_ps1-2	H
ENSP00000415769	277	1	605	Hs_ps1-2	L
ENSP00000415769	104	2	236	Hs_ps1-2	E
ENSP00000415769	5	2	236	Hs_ps1-2	H
ENSP00000415769	127	2	236	Hs_ps1-2	L
None_protein929909	20	1	42	Hs_igen	E
None_protein929909	3	1	42	Hs_igen	H
None_protein929909	19	1	42	Hs_igen	L
ENSP00000365014	33	1	156	Hs_ps1-2	E
ENSP00000365014	56	1	156	Hs_ps1-2	H
ENSP00000365014	67	1	156	Hs_ps1-2	L
ENSP00000304643	0	1	181	Hs_ps1-2	E
ENSP00000304643	111	1	181	Hs_ps1-2	H
ENSP00000304643	70	1	181	Hs_ps1-2	L
ENSP00000423325	3	1	36	Hs_ps1-2	E
ENSP00000423325	16	1	36	Hs_ps1-2	H
ENSP00000423325	17	1	36	Hs_ps1-2	L
ENSP00000423325	4	2	4	Hs_ps1-2	E
ENSP00000423325	0	2	4	Hs_ps1-2	H
ENSP00000423325	0	2	4	Hs_ps1-2	L
ENSP00000423325	36	3	91	Hs_ps1-2	E
ENSP00000423325	0	3	91	Hs_ps1-2	H
ENSP00000423325	55	3	91	Hs_ps1-2	L
ENSP00000423325	107	4	570	Hs_ps1-2	E
ENSP00000423325	126	4	570	Hs_ps1-2	H
ENSP00000423325	337	4	570	Hs_ps1-2	L
Hs_rnd_gnm2_780223	4	1	14	Hs_rand	E
Hs_rnd_gnm2_780223	0	1	14	Hs_rand	H
Hs_rnd_gnm2_780223	10	1	14	Hs_rand	L
Hs_rnd_gnm2_780223	0	2	13	Hs_rand	E
Hs_rnd_gnm2_780223	12	2	13	Hs_rand	H
Hs_rnd_gnm2_780223	1	2	13	Hs_rand	L
ENSP00000327786	51	1	253	Hs_ps13-17	E
ENSP00000327786	100	1	253	Hs_ps13-17	H
ENSP00000327786	102	1	253	Hs_ps13-17	L
ENSP00000327786	0	2	65	Hs_ps13-17	E
ENSP00000327786	30	2	65	Hs_ps13-17	H
ENSP00000327786	35	2	65	Hs_ps13-17	L
Hs_rnd_gnm8_259996	37	1	63	Hs_rand	E
Hs_rnd_gnm8_259996	0	1	63	Hs_rand	H
Hs_rnd_gnm8_259996	26	1	63	Hs_rand	L
vdp2013_S4_166	38	1	76	Hs_ps31	E
vdp2013_S4_166	0	1	76	Hs_ps31	H
vdp2013_S4_166	38	1	76	Hs_ps31	L
vdp2013_S4_164	11	1	50	Hs_ps31	E
vdp2013_S4_164	21	1	50	Hs_ps31	H
vdp2013_S4_164	18	1	50	Hs_ps31	L
vdp2013_S4_165	0	1	94	Hs_ps31	E
vdp2013_S4_165	38	1	94	Hs_ps31	H
vdp2013_S4_165	56	1	94	Hs_ps31	L
vdp2013_S4_162	3	1	44	Hs_ps31	E
vdp2013_S4_162	21	1	44	Hs_ps31	H
vdp2013_S4_162	20	1	44	Hs_ps31	L
vdp2013_S4_163	17	1	99	Hs_ps31	E
vdp2013_S4_163	40	1	99	Hs_ps31	H
vdp2013_S4_163	42	1	99	Hs_ps31	L
None_protein290708	7	1	107	Hs_igen	E
None_protein290708	60	1	107	Hs_igen	H
None_protein290708	40	1	107	Hs_igen	L
vdp2013_S4_169	12	1	47	Hs_ps31	E
vdp2013_S4_169	0	1	47	Hs_ps31	H
vdp2013_S4_169	35	1	47	Hs_ps31	L
None_protein460808	17	1	42	Hs_igen	E
None_protein460808	13	1	42	Hs_igen	H
None_protein460808	12	1	42	Hs_igen	L
ENSP00000479362	0	1	522	Hs_ps20-21	E
ENSP00000479362	507	1	522	Hs_ps20-21	H
ENSP00000479362	15	1	522	Hs_ps20-21	L
ENSP00000348108	27	1	346	Hs_ps1-2	E
ENSP00000348108	49	1	346	Hs_ps1-2	H
ENSP00000348108	270	1	346	Hs_ps1-2	L
ENSP00000258829	0	1	15	Hs_ps1-2	E
ENSP00000258829	5	1	15	Hs_ps1-2	H
ENSP00000258829	10	1	15	Hs_ps1-2	L
ENSP00000258829	6	2	147	Hs_ps1-2	E
ENSP00000258829	29	2	147	Hs_ps1-2	H
ENSP00000258829	112	2	147	Hs_ps1-2	L
ENSP00000256722	83	1	418	Hs_ps1-2	E
ENSP00000256722	172	1	418	Hs_ps1-2	H
ENSP00000256722	163	1	418	Hs_ps1-2	L
ENSP00000350633	4	1	46	Hs_ps13-17	E
ENSP00000350633	33	1	46	Hs_ps13-17	H
ENSP00000350633	9	1	46	Hs_ps13-17	L
ENSP00000350633	0	2	3	Hs_ps13-17	E
ENSP00000350633	3	2	3	Hs_ps13-17	H
ENSP00000350633	0	2	3	Hs_ps13-17	L
ENSP00000350633	0	3	20	Hs_ps13-17	E
ENSP00000350633	8	3	20	Hs_ps13-17	H
ENSP00000350633	12	3	20	Hs_ps13-17	L
ENSP00000350633	0	4	25	Hs_ps13-17	E
ENSP00000350633	12	4	25	Hs_ps13-17	H
ENSP00000350633	13	4	25	Hs_ps13-17	L
None_protein660185	6	1	70	Hs_igen	E
None_protein660185	50	1	70	Hs_igen	H
None_protein660185	14	1	70	Hs_igen	L
Hs_rnd_gnm10_64516	19	1	44	Hs_rand	E
Hs_rnd_gnm10_64516	0	1	44	Hs_rand	H
Hs_rnd_gnm10_64516	25	1	44	Hs_rand	L
ENSP00000217188	0	1	15	Hs_ps1-2	E
ENSP00000217188	12	1	15	Hs_ps1-2	H
ENSP00000217188	3	1	15	Hs_ps1-2	L
ENSP00000217188	90	2	434	Hs_ps1-2	E
ENSP00000217188	139	2	434	Hs_ps1-2	H
ENSP00000217188	205	2	434	Hs_ps1-2	L
Hs_rnd_gnm10_132037	21	1	62	Hs_rand	E
Hs_rnd_gnm10_132037	29	1	62	Hs_rand	H
Hs_rnd_gnm10_132037	12	1	62	Hs_rand	L
vdp2013_S4_702	18	1	75	Hs_ps31	E
vdp2013_S4_702	20	1	75	Hs_ps31	H
vdp2013_S4_702	37	1	75	Hs_ps31	L
None_protein484690	0	1	41	Hs_igen	E
None_protein484690	0	1	41	Hs_igen	H
None_protein484690	41	1	41	Hs_igen	L
vdp2013_S4_701	0	1	41	Hs_ps31	E
vdp2013_S4_701	24	1	41	Hs_ps31	H
vdp2013_S4_701	17	1	41	Hs_ps31	L
vdp2013_S4_704	8	1	48	Hs_ps31	E
vdp2013_S4_704	9	1	48	Hs_ps31	H
vdp2013_S4_704	31	1	48	Hs_ps31	L
vdp2013_S4_705	0	1	40	Hs_ps31	E
vdp2013_S4_705	26	1	40	Hs_ps31	H
vdp2013_S4_705	14	1	40	Hs_ps31	L
vdp2013_S4_709	4	1	66	Hs_ps31	E
vdp2013_S4_709	23	1	66	Hs_ps31	H
vdp2013_S4_709	39	1	66	Hs_ps31	L
ENSP00000462521	166	1	391	Hs_ps1-2	E
ENSP00000462521	0	1	391	Hs_ps1-2	H
ENSP00000462521	225	1	391	Hs_ps1-2	L
None_protein24661	18	1	104	Hs_igen	E
None_protein24661	58	1	104	Hs_igen	H
None_protein24661	28	1	104	Hs_igen	L
ENSP00000271385	35	1	281	Hs_ps1-2	E
ENSP00000271385	83	1	281	Hs_ps1-2	H
ENSP00000271385	163	1	281	Hs_ps1-2	L
ENSP00000271385	0	2	5	Hs_ps1-2	E
ENSP00000271385	5	2	5	Hs_ps1-2	H
ENSP00000271385	0	2	5	Hs_ps1-2	L
ENSP00000271385	0	3	41	Hs_ps1-2	E
ENSP00000271385	15	3	41	Hs_ps1-2	H
ENSP00000271385	26	3	41	Hs_ps1-2	L
ENSP00000271385	0	4	51	Hs_ps1-2	E
ENSP00000271385	21	4	51	Hs_ps1-2	H
ENSP00000271385	30	4	51	Hs_ps1-2	L
None_protein180994	4	1	26	Hs_igen	E
None_protein180994	3	1	26	Hs_igen	H
None_protein180994	19	1	26	Hs_igen	L
None_protein180994	0	2	15	Hs_igen	E
None_protein180994	6	2	15	Hs_igen	H
None_protein180994	9	2	15	Hs_igen	L
None_protein440825	3	1	40	Hs_igen	E
None_protein440825	23	1	40	Hs_igen	H
None_protein440825	14	1	40	Hs_igen	L
ENSP00000309640	0	1	59	Hs_ps1-2	E
ENSP00000309640	42	1	59	Hs_ps1-2	H
ENSP00000309640	17	1	59	Hs_ps1-2	L
ENSP00000309640	48	2	295	Hs_ps1-2	E
ENSP00000309640	126	2	295	Hs_ps1-2	H
ENSP00000309640	121	2	295	Hs_ps1-2	L
Hs_rnd_gnm7_578019	23	1	64	Hs_rand	E
Hs_rnd_gnm7_578019	0	1	64	Hs_rand	H
Hs_rnd_gnm7_578019	41	1	64	Hs_rand	L
ENSP00000309649	0	1	26	Hs_ps1-2	E
ENSP00000309649	18	1	26	Hs_ps1-2	H
ENSP00000309649	8	1	26	Hs_ps1-2	L
ENSP00000309649	67	2	238	Hs_ps1-2	E
ENSP00000309649	34	2	238	Hs_ps1-2	H
ENSP00000309649	137	2	238	Hs_ps1-2	L
Hs_rnd_gnm1_734049	9	1	66	Hs_rand	E
Hs_rnd_gnm1_734049	34	1	66	Hs_rand	H
Hs_rnd_gnm1_734049	23	1	66	Hs_rand	L
Raj_Hs_1486	4	1	120	Hs_ps31	E
Raj_Hs_1486	53	1	120	Hs_ps31	H
Raj_Hs_1486	63	1	120	Hs_ps31	L
None_protein1160746	20	1	42	Hs_igen	E
None_protein1160746	12	1	42	Hs_igen	H
None_protein1160746	10	1	42	Hs_igen	L
vdp2013_S4_108	38	1	70	Hs_ps31	E
vdp2013_S4_108	5	1	70	Hs_ps31	H
vdp2013_S4_108	27	1	70	Hs_ps31	L
None_protein249126	23	1	55	Hs_igen	E
None_protein249126	6	1	55	Hs_igen	H
None_protein249126	26	1	55	Hs_igen	L
None_protein745470	19	1	50	Hs_igen	E
None_protein745470	6	1	50	Hs_igen	H
None_protein745470	25	1	50	Hs_igen	L
Raj_Hs_1732	4	1	9	Hs_ps31	E
Raj_Hs_1732	0	1	9	Hs_ps31	H
Raj_Hs_1732	5	1	9	Hs_ps31	L
Raj_Hs_438	5	1	71	Hs_ps31	E
Raj_Hs_438	26	1	71	Hs_ps31	H
Raj_Hs_438	40	1	71	Hs_ps31	L
ENSP00000372272	20	1	63	Hs_ps31	E
ENSP00000372272	0	1	63	Hs_ps31	H
ENSP00000372272	43	1	63	Hs_ps31	L
ENSP00000317027	9	1	45	Hs_ps1-2	E
ENSP00000317027	24	1	45	Hs_ps1-2	H
ENSP00000317027	12	1	45	Hs_ps1-2	L
ENSP00000317027	37	2	372	Hs_ps1-2	E
ENSP00000317027	133	2	372	Hs_ps1-2	H
ENSP00000317027	202	2	372	Hs_ps1-2	L
hsa_00119633_1	5	1	20	Hs_ps31	E
hsa_00119633_1	12	1	20	Hs_ps31	H
hsa_00119633_1	3	1	20	Hs_ps31	L
Raj_Hs_431	18	1	56	Hs_ps31	E
Raj_Hs_431	8	1	56	Hs_ps31	H
Raj_Hs_431	30	1	56	Hs_ps31	L
Raj_Hs_1739	5	1	93	Hs_ps31	E
Raj_Hs_1739	53	1	93	Hs_ps31	H
Raj_Hs_1739	35	1	93	Hs_ps31	L
ENSP00000372278	23	1	44	Hs_ps31	E
ENSP00000372278	0	1	44	Hs_ps31	H
ENSP00000372278	21	1	44	Hs_ps31	L
Raj_Hs_124	2	1	41	Hs_ps31	E
Raj_Hs_124	8	1	41	Hs_ps31	H
Raj_Hs_124	31	1	41	Hs_ps31	L
Raj_Hs_121	2	1	43	Hs_ps31	E
Raj_Hs_121	3	1	43	Hs_ps31	H
Raj_Hs_121	38	1	43	Hs_ps31	L
ENSP00000370813	0	1	87	Hs_ps1-2	E
ENSP00000370813	47	1	87	Hs_ps1-2	H
ENSP00000370813	40	1	87	Hs_ps1-2	L
ENSP00000370813	2	2	63	Hs_ps1-2	E
ENSP00000370813	30	2	63	Hs_ps1-2	H
ENSP00000370813	31	2	63	Hs_ps1-2	L
ENSP00000406674	53	1	335	Hs_ps1-2	E
ENSP00000406674	148	1	335	Hs_ps1-2	H
ENSP00000406674	134	1	335	Hs_ps1-2	L
ENSP00000291592	8	1	257	Hs_ps1-2	E
ENSP00000291592	140	1	257	Hs_ps1-2	H
ENSP00000291592	109	1	257	Hs_ps1-2	L
ENSP00000352846	9	1	62	Hs_ps1-2	E
ENSP00000352846	29	1	62	Hs_ps1-2	H
ENSP00000352846	24	1	62	Hs_ps1-2	L
ENSP00000352846	0	2	5	Hs_ps1-2	E
ENSP00000352846	5	2	5	Hs_ps1-2	H
ENSP00000352846	0	2	5	Hs_ps1-2	L
ENSP00000352846	0	3	685	Hs_ps1-2	E
ENSP00000352846	215	3	685	Hs_ps1-2	H
ENSP00000352846	470	3	685	Hs_ps1-2	L
Hs_rnd_gnm1_592373	9	1	42	Hs_rand	E
Hs_rnd_gnm1_592373	3	1	42	Hs_rand	H
Hs_rnd_gnm1_592373	30	1	42	Hs_rand	L
Hs_rnd_gnm7_919405	43	1	105	Hs_rand	E
Hs_rnd_gnm7_919405	10	1	105	Hs_rand	H
Hs_rnd_gnm7_919405	52	1	105	Hs_rand	L
None_protein32868	16	1	68	Hs_igen	E
None_protein32868	12	1	68	Hs_igen	H
None_protein32868	40	1	68	Hs_igen	L
ENSP00000405899	7	1	307	Hs_ps1-2	E
ENSP00000405899	167	1	307	Hs_ps1-2	H
ENSP00000405899	133	1	307	Hs_ps1-2	L
None_protein248526	2	1	97	Hs_igen	E
None_protein248526	56	1	97	Hs_igen	H
None_protein248526	39	1	97	Hs_igen	L
None_protein803075	0	1	89	Hs_igen	E
None_protein803075	38	1	89	Hs_igen	H
None_protein803075	51	1	89	Hs_igen	L
ENSP00000339179	50	1	176	Hs_ps1-2	E
ENSP00000339179	49	1	176	Hs_ps1-2	H
ENSP00000339179	77	1	176	Hs_ps1-2	L
ENSP00000339179	0	2	122	Hs_ps1-2	E
ENSP00000339179	51	2	122	Hs_ps1-2	H
ENSP00000339179	71	2	122	Hs_ps1-2	L
None_protein736077	4	1	50	Hs_igen	E
None_protein736077	29	1	50	Hs_igen	H
None_protein736077	17	1	50	Hs_igen	L
Hs_rnd_gnm5_440383	13	1	42	Hs_rand	E
Hs_rnd_gnm5_440383	7	1	42	Hs_rand	H
Hs_rnd_gnm5_440383	22	1	42	Hs_rand	L
ENSP00000393312	79	1	153	Hs_ps1-2	E
ENSP00000393312	0	1	153	Hs_ps1-2	H
ENSP00000393312	74	1	153	Hs_ps1-2	L
ENSP00000393312	138	2	263	Hs_ps1-2	E
ENSP00000393312	0	2	263	Hs_ps1-2	H
ENSP00000393312	125	2	263	Hs_ps1-2	L
ENSP00000393312	54	3	352	Hs_ps1-2	E
ENSP00000393312	104	3	352	Hs_ps1-2	H
ENSP00000393312	194	3	352	Hs_ps1-2	L
ENSP00000353465	104	1	416	Hs_ps13-17	E
ENSP00000353465	158	1	416	Hs_ps13-17	H
ENSP00000353465	154	1	416	Hs_ps13-17	L
None_protein582527	27	1	91	Hs_igen	E
None_protein582527	3	1	91	Hs_igen	H
None_protein582527	61	1	91	Hs_igen	L
Hs_JP201901_55	0	1	62	Hs_ps31	E
Hs_JP201901_55	26	1	62	Hs_ps31	H
Hs_JP201901_55	36	1	62	Hs_ps31	L
Hs_JP201901_54	0	1	63	Hs_ps31	E
Hs_JP201901_54	3	1	63	Hs_ps31	H
Hs_JP201901_54	60	1	63	Hs_ps31	L
Hs_JP201901_57	53	1	131	Hs_ps1-2	E
Hs_JP201901_57	0	1	131	Hs_ps1-2	H
Hs_JP201901_57	78	1	131	Hs_ps1-2	L
Hs_JP201901_51	20	1	74	Hs_ps31	E
Hs_JP201901_51	3	1	74	Hs_ps31	H
Hs_JP201901_51	51	1	74	Hs_ps31	L
Hs_JP201901_50	15	1	52	Hs_ps31	E
Hs_JP201901_50	0	1	52	Hs_ps31	H
Hs_JP201901_50	37	1	52	Hs_ps31	L
ENSP00000287461	9	1	500	Hs_ps1-2	E
ENSP00000287461	145	1	500	Hs_ps1-2	H
ENSP00000287461	346	1	500	Hs_ps1-2	L
Hs_rnd_gnm6_631537	14	1	41	Hs_rand	E
Hs_rnd_gnm6_631537	0	1	41	Hs_rand	H
Hs_rnd_gnm6_631537	27	1	41	Hs_rand	L
ENSP00000405095	8	1	308	Hs_ps13-17	E
ENSP00000405095	235	1	308	Hs_ps13-17	H
ENSP00000405095	65	1	308	Hs_ps13-17	L
vdp2013_S4_1210	9	1	115	Hs_ps20-21	E
vdp2013_S4_1210	77	1	115	Hs_ps20-21	H
vdp2013_S4_1210	29	1	115	Hs_ps20-21	L
vdp2013_S4_1212	5	1	76	Hs_ps13-17	E
vdp2013_S4_1212	47	1	76	Hs_ps13-17	H
vdp2013_S4_1212	24	1	76	Hs_ps13-17	L
vdp2013_S4_1214	0	1	43	Hs_ps31	E
vdp2013_S4_1214	16	1	43	Hs_ps31	H
vdp2013_S4_1214	27	1	43	Hs_ps31	L
vdp2013_S4_1215	4	1	42	Hs_ps31	E
vdp2013_S4_1215	28	1	42	Hs_ps31	H
vdp2013_S4_1215	10	1	42	Hs_ps31	L
vdp2013_S4_1216	18	1	87	Hs_ps20-21	E
vdp2013_S4_1216	40	1	87	Hs_ps20-21	H
vdp2013_S4_1216	29	1	87	Hs_ps20-21	L
vdp2013_S4_1217	0	1	68	Hs_ps31	E
vdp2013_S4_1217	57	1	68	Hs_ps31	H
vdp2013_S4_1217	11	1	68	Hs_ps31	L
vdp2013_S4_1219	38	1	99	Hs_ps31	E
vdp2013_S4_1219	11	1	99	Hs_ps31	H
vdp2013_S4_1219	50	1	99	Hs_ps31	L
ENSP00000375267	0	1	113	Hs_ps1-2	E
ENSP00000375267	59	1	113	Hs_ps1-2	H
ENSP00000375267	54	1	113	Hs_ps1-2	L
None_protein421073	2	1	62	Hs_igen	E
None_protein421073	26	1	62	Hs_igen	H
None_protein421073	34	1	62	Hs_igen	L
ENSP00000339356	40	1	147	Hs_ps13-17	E
ENSP00000339356	24	1	147	Hs_ps13-17	H
ENSP00000339356	83	1	147	Hs_ps13-17	L
ENSP00000318352	0	1	127	Hs_ps20-21	E
ENSP00000318352	90	1	127	Hs_ps20-21	H
ENSP00000318352	37	1	127	Hs_ps20-21	L
Hs_JP201901_495	5	1	83	Hs_ps31	E
Hs_JP201901_495	0	1	83	Hs_ps31	H
Hs_JP201901_495	78	1	83	Hs_ps31	L
ENSP00000302938	8	1	93	Hs_ps20-21	E
ENSP00000302938	23	1	93	Hs_ps20-21	H
ENSP00000302938	62	1	93	Hs_ps20-21	L
ENSP00000385036	42	1	114	Hs_ps13-17	E
ENSP00000385036	8	1	114	Hs_ps13-17	H
ENSP00000385036	64	1	114	Hs_ps13-17	L
Hs_rnd_gnm3_1275171	24	1	98	Hs_rand	E
Hs_rnd_gnm3_1275171	0	1	98	Hs_rand	H
Hs_rnd_gnm3_1275171	74	1	98	Hs_rand	L
ENSP00000362387	12	1	153	Hs_ps1-2	E
ENSP00000362387	102	1	153	Hs_ps1-2	H
ENSP00000362387	39	1	153	Hs_ps1-2	L
ENSP00000362387	2	2	77	Hs_ps1-2	E
ENSP00000362387	47	2	77	Hs_ps1-2	H
ENSP00000362387	28	2	77	Hs_ps1-2	L
Hs_rnd_gnm1_1291616	27	1	54	Hs_rand	E
Hs_rnd_gnm1_1291616	0	1	54	Hs_rand	H
Hs_rnd_gnm1_1291616	27	1	54	Hs_rand	L
Hs_rnd_gnm10_712371	0	1	57	Hs_rand	E
Hs_rnd_gnm10_712371	40	1	57	Hs_rand	H
Hs_rnd_gnm10_712371	17	1	57	Hs_rand	L
Raj_Hs_2072	23	1	51	Hs_ps31	E
Raj_Hs_2072	0	1	51	Hs_ps31	H
Raj_Hs_2072	28	1	51	Hs_ps31	L
Hs_rnd_gnm3_1162537	52	1	150	Hs_rand	E
Hs_rnd_gnm3_1162537	12	1	150	Hs_rand	H
Hs_rnd_gnm3_1162537	86	1	150	Hs_rand	L
ENSP00000368389	9	1	14	Hs_ps1-2	E
ENSP00000368389	0	1	14	Hs_ps1-2	H
ENSP00000368389	5	1	14	Hs_ps1-2	L
ENSP00000368389	0	2	93	Hs_ps1-2	E
ENSP00000368389	61	2	93	Hs_ps1-2	H
ENSP00000368389	32	2	93	Hs_ps1-2	L
ENSP00000368389	7	3	36	Hs_ps1-2	E
ENSP00000368389	6	3	36	Hs_ps1-2	H
ENSP00000368389	23	3	36	Hs_ps1-2	L
None_protein720655	0	1	16	Hs_igen	E
None_protein720655	3	1	16	Hs_igen	H
None_protein720655	13	1	16	Hs_igen	L
ENSP00000300961	0	1	331	Hs_ps20-21	E
ENSP00000300961	0	1	331	Hs_ps20-21	H
ENSP00000300961	331	1	331	Hs_ps20-21	L
ENSP00000344668	39	1	736	Hs_ps1-2	E
