protein	group	loop_length
ENSP00000316109	pfam	19
ENSP00000316109	pfam_whole	156
ENSP00000346886	pfam	9
ENSP00000346886	pfam_whole	70
ENSP00000355086	pfam	9
ENSP00000355086	pfam_whole	25
ENSP00000255266	pfam	27
ENSP00000255266	pfam_whole	45
ENSP00000255266	pfam	28
ENSP00000255266	pfam_whole	45
ENSP00000359760	pfam	26
ENSP00000359760	pfam_whole	67
ENSP00000192314	pfam	25
ENSP00000192314	pfam_whole	25
ENSP00000356433	pfam	25
ENSP00000356433	pfam_whole	37
ENSP00000309576	pfam	23
ENSP00000309576	pfam_whole	77
ENSP00000309576	pfam	24
ENSP00000309576	pfam_whole	77
ENSP00000313571	pfam	23
ENSP00000313571	pfam_whole	23
ENSP00000381699	pfam	32
ENSP00000381699	pfam_whole	32
ENSP00000319636	pfam	32
ENSP00000319636	pfam_whole	67
ENSP00000453129	pfam	10
ENSP00000453129	pfam_whole	23
ENSP00000368119	pfam	46
ENSP00000368119	pfam_whole	46
ENSP00000368119	pfam	13
ENSP00000368119	pfam_whole	46
ENSP00000300255	pfam	27
ENSP00000300255	pfam_whole	55
ENSP00000300255	pfam	28
ENSP00000300255	pfam_whole	55
ENSP00000359760	pfam	26
ENSP00000359760	pfam_whole	67
ENSP00000311962	pfam	10
ENSP00000311962	pfam_whole	185
ENSP00000460823	pfam	10
ENSP00000460823	pfam_whole	53
ENSP00000365858	pfam	0
ENSP00000365858	pfam_whole	0
ENSP00000365858	pfam	0
ENSP00000365858	pfam_whole	0
ENSP00000361704	pfam	43
ENSP00000361704	pfam_whole	43
ENSP00000263985	pfam	33
ENSP00000263985	pfam_whole	33
ENSP00000263985	pfam	11
ENSP00000263985	pfam_whole	33
ENSP00000315006	pfam	4
ENSP00000315006	pfam_whole	24
ENSP00000236709	pfam	29
ENSP00000236709	pfam_whole	29
ENSP00000374399	pfam	33
ENSP00000374399	pfam_whole	33
ENSP00000328992	pfam	16
ENSP00000328992	pfam_whole	25
ENSP00000447537	pfam	2
ENSP00000447537	pfam_whole	2
ENSP00000491651	pfam	15
ENSP00000491651	pfam_whole	19
ENSP00000490147	pfam	10
ENSP00000490147	pfam_whole	15
ENSP00000414019	pfam	33
ENSP00000414019	pfam_whole	33
ENSP00000370194	pfam	19
ENSP00000370194	pfam_whole	19
ENSP00000332407	pfam	27
ENSP00000332407	pfam_whole	27
ENSP00000358421	pfam	26
ENSP00000358421	pfam_whole	26
ENSP00000325425	pfam	22
ENSP00000325425	pfam_whole	27
ENSP00000362924	pfam	9
ENSP00000362924	pfam_whole	37
ENSP00000362924	pfam	9
ENSP00000362924	pfam_whole	37
ENSP00000362924	pfam	7
ENSP00000362924	pfam_whole	37
ENSP00000362924	pfam	5
ENSP00000362924	pfam_whole	37
ENSP00000362924	pfam	10
ENSP00000362924	pfam_whole	37
ENSP00000362924	pfam	13
ENSP00000362924	pfam_whole	37
ENSP00000269571	pfam	0
ENSP00000269571	pfam_whole	163
ENSP00000365426	pfam	14
ENSP00000365426	pfam_whole	14
ENSP00000453129	pfam	5
ENSP00000453129	pfam_whole	23
ENSP00000453129	pfam	10
ENSP00000453129	pfam_whole	23
ENSP00000331831	pfam	0
ENSP00000331831	pfam_whole	164
ENSP00000006658	pfam	10
ENSP00000006658	pfam_whole	34
ENSP00000308622	pfam	16
ENSP00000308622	pfam_whole	16
ENSP00000382670	pfam	10
ENSP00000382670	pfam_whole	91
ENSP00000261195	pfam	33
ENSP00000261195	pfam_whole	56
ENSP00000447852	pfam	41
ENSP00000447852	pfam_whole	60
ENSP00000436604	pfam	44
ENSP00000436604	pfam_whole	53
ENSP00000297107	pfam	39
ENSP00000297107	pfam_whole	67
ENSP00000348668	pfam	52
ENSP00000348668	pfam_whole	61
ENSP00000423313	pfam	47
ENSP00000423313	pfam_whole	63
ENSP00000344260	pfam	7
ENSP00000344260	pfam_whole	110
ENSP00000341828	pfam	30
ENSP00000341828	pfam_whole	84
ENSP00000358747	pfam	29
ENSP00000358747	pfam_whole	29
ENSP00000337854	pfam	22
ENSP00000337854	pfam_whole	54
ENSP00000264382	pfam	52
ENSP00000264382	pfam_whole	52
ENSP00000264382	pfam	42
ENSP00000264382	pfam_whole	52
ENSP00000261304	pfam	28
ENSP00000261304	pfam_whole	44
ENSP00000261304	pfam	10
ENSP00000261304	pfam_whole	44
ENSP00000367343	pfam	24
ENSP00000367343	pfam_whole	55
ENSP00000472821	pfam	17
ENSP00000472821	pfam_whole	32
ENSP00000344260	pfam	48
ENSP00000344260	pfam_whole	110
ENSP00000345270	pfam	13
ENSP00000345270	pfam_whole	55
ENSP00000281923	pfam	30
ENSP00000281923	pfam_whole	45
ENSP00000472821	pfam	17
ENSP00000472821	pfam_whole	32
ENSP00000414073	pfam	18
ENSP00000414073	pfam_whole	45
ENSP00000231461	pfam	17
ENSP00000231461	pfam_whole	39
ENSP00000492098	pfam	26
ENSP00000492098	pfam_whole	57
ENSP00000348451	pfam	31
ENSP00000348451	pfam_whole	31
ENSP00000355273	pfam	29
ENSP00000355273	pfam_whole	188
ENSP00000361110	pfam	28
ENSP00000361110	pfam_whole	28
ENSP00000348668	pfam	15
ENSP00000348668	pfam_whole	61
ENSP00000297107	pfam	16
ENSP00000297107	pfam_whole	67
ENSP00000423313	pfam	16
ENSP00000423313	pfam_whole	63
ENSP00000447852	pfam	15
ENSP00000447852	pfam_whole	60
ENSP00000436604	pfam	15
ENSP00000436604	pfam_whole	53
ENSP00000309640	pfam	22
ENSP00000309640	pfam_whole	39
ENSP00000365172	pfam	32
ENSP00000365172	pfam_whole	38
ENSP00000472821	pfam	17
ENSP00000472821	pfam_whole	32
ENSP00000378260	pfam	14
ENSP00000378260	pfam_whole	93
ENSP00000304845	pfam	6
ENSP00000304845	pfam_whole	46
ENSP00000418532	pfam	6
ENSP00000418532	pfam_whole	46
ENSP00000341045	pfam	6
ENSP00000341045	pfam_whole	34
ENSP00000488958	pfam	8
ENSP00000488958	pfam_whole	33
ENSP00000488958	pfam	33
ENSP00000488958	pfam_whole	33
ENSP00000236709	pfam	9
ENSP00000236709	pfam_whole	29
ENSP00000344942	pfam	25
ENSP00000344942	pfam_whole	25
ENSP00000271375	pfam	5
ENSP00000271375	pfam_whole	14
ENSP00000308535	pfam	6
ENSP00000308535	pfam_whole	6
ENSP00000366157	pfam	17
ENSP00000366157	pfam_whole	17
ENSP00000427130	pfam	57
ENSP00000427130	pfam_whole	57
ENSP00000265070	pfam	12
ENSP00000265070	pfam_whole	12
ENSP00000359760	pfam	15
ENSP00000359760	pfam_whole	67
ENSP00000311545	pfam	15
ENSP00000311545	pfam_whole	253
ENSP00000480090	pfam	22
ENSP00000480090	pfam_whole	43
ENSP00000268712	pfam	0
ENSP00000268712	pfam_whole	66
ENSP00000222286	pfam	14
ENSP00000222286	pfam_whole	16
ENSP00000222286	pfam	13
ENSP00000222286	pfam_whole	16
ENSP00000411197	pfam	9
ENSP00000411197	pfam_whole	143
ENSP00000411197	pfam	15
ENSP00000411197	pfam_whole	143
ENSP00000359423	pfam	12
ENSP00000359423	pfam_whole	23
ENSP00000345752	pfam	12
ENSP00000345752	pfam_whole	23
ENSP00000386810	pfam	6
ENSP00000386810	pfam_whole	243
ENSP00000303659	pfam	4
ENSP00000303659	pfam_whole	233
ENSP00000335620	pfam	7
ENSP00000335620	pfam_whole	10
ENSP00000331901	pfam	11
ENSP00000331901	pfam_whole	21
ENSP00000256593	pfam	5
ENSP00000256593	pfam_whole	15
ENSP00000358727	pfam	13
ENSP00000358727	pfam_whole	13
ENSP00000331901	pfam	11
ENSP00000331901	pfam_whole	21
ENSP00000353959	pfam	30
ENSP00000353959	pfam_whole	30
ENSP00000358727	pfam	13
ENSP00000358727	pfam_whole	13
ENSP00000345023	pfam	10
ENSP00000345023	pfam_whole	12
ENSP00000335620	pfam	4
ENSP00000335620	pfam_whole	10
ENSP00000256593	pfam	5
ENSP00000256593	pfam_whole	15
ENSP00000358727	pfam	13
ENSP00000358727	pfam_whole	13
ENSP00000331901	pfam	11
ENSP00000331901	pfam_whole	21
ENSP00000331901	pfam	11
ENSP00000331901	pfam_whole	21
ENSP00000256593	pfam	15
ENSP00000256593	pfam_whole	15
ENSP00000335620	pfam	9
ENSP00000335620	pfam_whole	10
ENSP00000358727	pfam	9
ENSP00000358727	pfam_whole	13
ENSP00000345023	pfam	8
ENSP00000345023	pfam_whole	12
ENSP00000358727	pfam	9
ENSP00000358727	pfam_whole	13
ENSP00000345023	pfam	8
ENSP00000345023	pfam_whole	12
ENSP00000358727	pfam	9
ENSP00000358727	pfam_whole	13
ENSP00000345023	pfam	8
ENSP00000345023	pfam_whole	12
ENSP00000331901	pfam	11
ENSP00000331901	pfam_whole	21
ENSP00000359859	pfam	28
ENSP00000359859	pfam_whole	50
ENSP00000222511	pfam	18
ENSP00000222511	pfam_whole	18
ENSP00000268206	pfam	14
ENSP00000268206	pfam_whole	50
ENSP00000281543	pfam	24
ENSP00000281543	pfam_whole	24
ENSP00000281543	pfam	9
ENSP00000281543	pfam_whole	24
ENSP00000323847	pfam	7
ENSP00000323847	pfam_whole	10
ENSP00000306010	pfam	10
ENSP00000306010	pfam_whole	10
ENSP00000243662	pfam	8
ENSP00000243662	pfam_whole	13
ENSP00000282026	pfam	9
ENSP00000282026	pfam_whole	10
ENSP00000387286	pfam	10
ENSP00000387286	pfam_whole	13
ENSP00000363597	pfam	9
ENSP00000363597	pfam_whole	12
ENSP00000229340	pfam	9
ENSP00000229340	pfam_whole	12
ENSP00000243298	pfam	8
ENSP00000243298	pfam_whole	11
ENSP00000285208	pfam	12
ENSP00000285208	pfam_whole	12
ENSP00000380869	pfam	9
ENSP00000380869	pfam_whole	12
ENSP00000357669	pfam	18
ENSP00000357669	pfam_whole	34
ENSP00000218006	pfam	18
ENSP00000218006	pfam_whole	45
ENSP00000296518	pfam	7
ENSP00000296518	pfam_whole	17
ENSP00000304604	pfam	16
ENSP00000304604	pfam_whole	83
ENSP00000362687	pfam	5
ENSP00000362687	pfam_whole	119
ENSP00000338964	pfam	37
ENSP00000338964	pfam_whole	74
ENSP00000278765	pfam	37
ENSP00000278765	pfam_whole	37
ENSP00000284503	pfam	12
ENSP00000284503	pfam_whole	19
ENSP00000365625	pfam	10
ENSP00000365625	pfam_whole	72
ENSP00000252011	pfam	12
ENSP00000252011	pfam_whole	14
ENSP00000251241	pfam	13
ENSP00000251241	pfam_whole	16
ENSP00000477751	pfam	0
ENSP00000477751	pfam_whole	171
ENSP00000483519	pfam	0
ENSP00000483519	pfam_whole	171
ENSP00000478565	pfam	0
ENSP00000478565	pfam_whole	170
ENSP00000406909	pfam	25
ENSP00000406909	pfam_whole	27
ENSP00000302441	pfam	10
ENSP00000302441	pfam_whole	15
ENSP00000357835	pfam	6
ENSP00000357835	pfam_whole	16
ENSP00000380514	pfam	24
ENSP00000380514	pfam_whole	28
ENSP00000335153	pfam	12
ENSP00000335153	pfam_whole	61
ENSP00000325875	pfam	12
ENSP00000325875	pfam_whole	17
ENSP00000219794	pfam	37
ENSP00000219794	pfam_whole	37
ENSP00000380763	pfam	20
ENSP00000380763	pfam_whole	449
ENSP00000232603	pfam	18
ENSP00000232603	pfam_whole	143
ENSP00000335153	pfam	12
ENSP00000335153	pfam_whole	61
ENSP00000325875	pfam	12
ENSP00000325875	pfam_whole	17
ENSP00000462116	pfam	21
ENSP00000462116	pfam_whole	117
ENSP00000251768	pfam	22
ENSP00000251768	pfam_whole	74
ENSP00000324804	pfam	4
ENSP00000324804	pfam_whole	13
ENSP00000324804	pfam	4
ENSP00000324804	pfam_whole	13
ENSP00000324804	pfam	3
ENSP00000324804	pfam_whole	13
ENSP00000263710	pfam	4
ENSP00000263710	pfam_whole	377
ENSP00000343701	pfam	4
ENSP00000343701	pfam_whole	32
ENSP00000321737	pfam	4
ENSP00000321737	pfam_whole	19
ENSP00000324804	pfam	7
ENSP00000324804	pfam_whole	13
ENSP00000324804	pfam	6
ENSP00000324804	pfam_whole	13
ENSP00000482835	pfam	9
ENSP00000482835	pfam_whole	154
ENSP00000309474	pfam	5
ENSP00000309474	pfam_whole	33
ENSP00000402346	pfam	6
ENSP00000402346	pfam_whole	75
ENSP00000332455	pfam	6
ENSP00000332455	pfam_whole	25
ENSP00000332455	pfam	9
ENSP00000332455	pfam_whole	25
ENSP00000265428	pfam	25
ENSP00000265428	pfam_whole	225
ENSP00000264345	pfam	25
ENSP00000264345	pfam_whole	25
ENSP00000484981	pfam	25
ENSP00000484981	pfam_whole	327
ENSP00000358762	pfam	35
ENSP00000358762	pfam_whole	35
ENSP00000277541	pfam	5
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	5
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	6
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	5
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	5
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	6
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	5
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	6
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	5
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	5
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	0
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	5
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	0
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	0
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	0
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	0
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	6
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	5
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	0
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	5
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	6
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	5
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	5
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	6
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	5
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	0
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	0
ENSP00000277541	pfam_whole	157
ENSP00000277541	pfam	6
ENSP00000277541	pfam_whole	157
ENSP00000301873	pfam	0
ENSP00000301873	pfam_whole	678
ENSP00000301873	pfam	0
ENSP00000301873	pfam_whole	678
ENSP00000301873	pfam	0
ENSP00000301873	pfam_whole	678
ENSP00000301873	pfam	0
ENSP00000301873	pfam_whole	678
ENSP00000301873	pfam	0
ENSP00000301873	pfam_whole	678
ENSP00000301873	pfam	6
ENSP00000301873	pfam_whole	678
ENSP00000354929	pfam	7
ENSP00000354929	pfam_whole	27
ENSP00000354929	pfam	5
ENSP00000354929	pfam_whole	27
ENSP00000354929	pfam	4
ENSP00000354929	pfam_whole	27
ENSP00000354929	pfam	4
ENSP00000354929	pfam_whole	27
ENSP00000367064	pfam	5
ENSP00000367064	pfam_whole	479
ENSP00000367064	pfam	6
ENSP00000367064	pfam_whole	479
ENSP00000367064	pfam	0
ENSP00000367064	pfam_whole	479
ENSP00000367064	pfam	0
ENSP00000367064	pfam_whole	479
ENSP00000481542	pfam	0
ENSP00000481542	pfam_whole	338
ENSP00000481542	pfam	6
ENSP00000481542	pfam_whole	338
ENSP00000481542	pfam	6
ENSP00000481542	pfam_whole	338
ENSP00000254898	pfam	0
ENSP00000254898	pfam_whole	274
ENSP00000254898	pfam	0
ENSP00000254898	pfam_whole	274
ENSP00000348982	pfam	6
ENSP00000348982	pfam_whole	1049
ENSP00000348982	pfam	0
ENSP00000348982	pfam_whole	1049
ENSP00000348982	pfam	0
ENSP00000348982	pfam_whole	1049
ENSP00000348982	pfam	0
ENSP00000348982	pfam_whole	1049
ENSP00000348982	pfam	0
ENSP00000348982	pfam_whole	1049
ENSP00000348982	pfam	0
ENSP00000348982	pfam_whole	1049
ENSP00000348982	pfam	0
ENSP00000348982	pfam_whole	1049
ENSP00000348982	pfam	0
ENSP00000348982	pfam_whole	1049
ENSP00000311545	pfam	5
ENSP00000311545	pfam_whole	253
ENSP00000311545	pfam	0
ENSP00000311545	pfam_whole	253
ENSP00000311545	pfam	5
ENSP00000311545	pfam_whole	253
ENSP00000331831	pfam	0
ENSP00000331831	pfam_whole	164
ENSP00000331831	pfam	0
ENSP00000331831	pfam_whole	164
ENSP00000362687	pfam	12
ENSP00000362687	pfam_whole	119
ENSP00000258772	pfam	39
ENSP00000258772	pfam_whole	39
ENSP00000314348	pfam	8
ENSP00000314348	pfam_whole	164
ENSP00000238146	pfam	9
ENSP00000238146	pfam_whole	71
ENSP00000358716	pfam	8
ENSP00000358716	pfam_whole	159
ENSP00000377601	pfam	13
ENSP00000377601	pfam_whole	107
ENSP00000330460	pfam	8
ENSP00000330460	pfam_whole	37
ENSP00000262518	pfam	8
ENSP00000262518	pfam_whole	464
ENSP00000348089	pfam	6
ENSP00000348089	pfam_whole	209
ENSP00000317636	pfam	10
ENSP00000317636	pfam_whole	88
ENSP00000317123	pfam	13
ENSP00000317123	pfam_whole	59
ENSP00000252011	pfam	9
ENSP00000252011	pfam_whole	14
ENSP00000308944	pfam	8
ENSP00000308944	pfam_whole	92
ENSP00000365625	pfam	12
ENSP00000365625	pfam_whole	72
ENSP00000251241	pfam	14
ENSP00000251241	pfam_whole	16
ENSP00000285398	pfam	11
ENSP00000285398	pfam_whole	23
ENSP00000364543	pfam	11
ENSP00000364543	pfam_whole	172
ENSP00000259008	pfam	15
ENSP00000259008	pfam_whole	39
ENSP00000285398	pfam	17
ENSP00000285398	pfam_whole	23
ENSP00000357787	pfam	12
ENSP00000357787	pfam_whole	12
ENSP00000219271	pfam	11
ENSP00000219271	pfam_whole	72
ENSP00000219271	pfam	4
ENSP00000219271	pfam_whole	72
ENSP00000219271	pfam	4
ENSP00000219271	pfam_whole	72
ENSP00000219271	pfam	4
ENSP00000219271	pfam_whole	72
ENSP00000226218	pfam	12
ENSP00000226218	pfam_whole	113
ENSP00000226218	pfam	5
ENSP00000226218	pfam_whole	113
ENSP00000226218	pfam	9
ENSP00000226218	pfam_whole	113
ENSP00000226218	pfam	12
ENSP00000226218	pfam_whole	113
ENSP00000338093	pfam	10
ENSP00000338093	pfam_whole	48
ENSP00000442563	pfam	11
ENSP00000442563	pfam_whole	24
ENSP00000408176	pfam	7
ENSP00000408176	pfam_whole	75
ENSP00000408176	pfam	10
ENSP00000408176	pfam_whole	75
ENSP00000360216	pfam	7
ENSP00000360216	pfam_whole	52
ENSP00000297261	pfam	18
ENSP00000297261	pfam_whole	52
ENSP00000269445	pfam	14
ENSP00000269445	pfam_whole	18
ENSP00000263734	pfam	0
ENSP00000263734	pfam_whole	515
ENSP00000263734	pfam	0
ENSP00000263734	pfam_whole	515
ENSP00000297261	pfam	27
ENSP00000297261	pfam_whole	52
ENSP00000308944	pfam	10
ENSP00000308944	pfam_whole	92
ENSP00000366999	pfam	5
ENSP00000366999	pfam_whole	5
ENSP00000445831	pfam	7
ENSP00000445831	pfam_whole	7
ENSP00000420176	pfam	6
ENSP00000420176	pfam_whole	6
ENSP00000366190	pfam	6
ENSP00000366190	pfam_whole	6
ENSP00000295757	pfam	26
ENSP00000295757	pfam_whole	26
ENSP00000252825	pfam	0
ENSP00000252825	pfam_whole	642
ENSP00000252825	pfam	0
ENSP00000252825	pfam_whole	642
ENSP00000252825	pfam	0
ENSP00000252825	pfam_whole	642
ENSP00000252825	pfam	0
ENSP00000252825	pfam_whole	642
ENSP00000252825	pfam	0
ENSP00000252825	pfam_whole	642
ENSP00000297283	pfam	16
ENSP00000297283	pfam_whole	23
ENSP00000297283	pfam	5
ENSP00000297283	pfam_whole	23
ENSP00000438465	pfam	23
ENSP00000438465	pfam_whole	51
ENSP00000256997	pfam	28
ENSP00000256997	pfam_whole	28
ENSP00000270593	pfam	32
ENSP00000270593	pfam_whole	32
ENSP00000338283	pfam	9
ENSP00000338283	pfam_whole	28
ENSP00000349616	pfam	17
ENSP00000349616	pfam_whole	32
ENSP00000421981	pfam	17
ENSP00000421981	pfam_whole	23
ENSP00000262065	pfam	7
ENSP00000262065	pfam_whole	14
ENSP00000436318	pfam	4
ENSP00000436318	pfam_whole	38
ENSP00000377527	pfam	13
ENSP00000377527	pfam_whole	32
ENSP00000366144	pfam	7
ENSP00000366144	pfam_whole	7
ENSP00000354130	pfam	7
ENSP00000354130	pfam_whole	7
ENSP00000265007	pfam	9
ENSP00000265007	pfam_whole	344
ENSP00000433233	pfam	7
ENSP00000433233	pfam_whole	7
ENSP00000219746	pfam	6
ENSP00000219746	pfam_whole	254
ENSP00000372347	pfam	0
ENSP00000372347	pfam_whole	338
ENSP00000219746	pfam	6
ENSP00000219746	pfam_whole	254
ENSP00000366144	pfam	7
ENSP00000366144	pfam_whole	7
ENSP00000265007	pfam	9
ENSP00000265007	pfam_whole	344
ENSP00000354130	pfam	7
ENSP00000354130	pfam_whole	7
ENSP00000433233	pfam	7
ENSP00000433233	pfam_whole	7
ENSP00000285814	pfam	14
ENSP00000285814	pfam_whole	28
ENSP00000296518	pfam	13
ENSP00000296518	pfam_whole	17
ENSP00000296518	pfam	9
ENSP00000296518	pfam_whole	17
ENSP00000218006	pfam	3
ENSP00000218006	pfam_whole	45
ENSP00000332744	pfam	7
ENSP00000332744	pfam_whole	118
ENSP00000370990	pfam	5
ENSP00000370990	pfam_whole	113
ENSP00000358807	pfam	7
ENSP00000358807	pfam_whole	112
ENSP00000311492	pfam	7
ENSP00000311492	pfam_whole	7
ENSP00000298231	pfam	7
ENSP00000298231	pfam_whole	7
ENSP00000375921	pfam	7
ENSP00000375921	pfam_whole	90
ENSP00000314480	pfam	7
ENSP00000314480	pfam_whole	7
ENSP00000262041	pfam	7
ENSP00000262041	pfam_whole	7
ENSP00000361024	pfam	5
ENSP00000361024	pfam_whole	229
ENSP00000234392	pfam	7
ENSP00000234392	pfam_whole	7
ENSP00000358207	pfam	7
ENSP00000358207	pfam_whole	7
ENSP00000343819	pfam	6
ENSP00000343819	pfam_whole	185
ENSP00000309336	pfam	4
ENSP00000309336	pfam_whole	157
ENSP00000372170	pfam	5
ENSP00000372170	pfam_whole	113
ENSP00000451945	pfam	7
ENSP00000451945	pfam_whole	146
ENSP00000312385	pfam	4
ENSP00000312385	pfam_whole	120
ENSP00000360811	pfam	0
ENSP00000360811	pfam_whole	67
ENSP00000331470	pfam	7
ENSP00000331470	pfam_whole	152
ENSP00000419565	pfam	7
ENSP00000419565	pfam_whole	236
ENSP00000439943	pfam	6
ENSP00000439943	pfam_whole	34
ENSP00000217999	pfam	6
ENSP00000217999	pfam_whole	6
ENSP00000258829	pfam	7
ENSP00000258829	pfam_whole	77
ENSP00000381486	pfam	7
ENSP00000381486	pfam_whole	7
ENSP00000438832	pfam	7
ENSP00000438832	pfam_whole	7
ENSP00000305244	pfam	6
ENSP00000305244	pfam_whole	6
ENSP00000439943	pfam	6
ENSP00000439943	pfam_whole	34
ENSP00000305244	pfam	6
ENSP00000305244	pfam_whole	6
ENSP00000320447	pfam	16
ENSP00000320447	pfam_whole	200
ENSP00000312987	pfam	17
ENSP00000312987	pfam_whole	60
ENSP00000419692	pfam	10
ENSP00000419692	pfam_whole	66
ENSP00000482504	pfam	20
ENSP00000482504	pfam_whole	104
ENSP00000440864	pfam	9
ENSP00000440864	pfam_whole	70
ENSP00000332296	pfam	16
ENSP00000332296	pfam_whole	72
ENSP00000261523	pfam	9
ENSP00000261523	pfam_whole	180
ENSP00000336528	pfam	17
ENSP00000336528	pfam_whole	130
ENSP00000356959	pfam	20
ENSP00000356959	pfam_whole	81
ENSP00000366135	pfam	10
ENSP00000366135	pfam_whole	83
ENSP00000359760	pfam	0
ENSP00000359760	pfam_whole	67
ENSP00000262518	pfam	2
ENSP00000262518	pfam_whole	464
ENSP00000216027	pfam	4
ENSP00000216027	pfam_whole	59
ENSP00000489814	pfam	12
ENSP00000489814	pfam_whole	23
ENSP00000313243	pfam	15
ENSP00000313243	pfam_whole	462
ENSP00000261797	pfam	45
ENSP00000261797	pfam_whole	45
ENSP00000227251	pfam	10
ENSP00000227251	pfam_whole	39
ENSP00000227378	pfam	11
ENSP00000227378	pfam_whole	11
ENSP00000247207	pfam	12
ENSP00000247207	pfam_whole	12
ENSP00000302961	pfam	15
ENSP00000302961	pfam_whole	15
ENSP00000302961	pfam	7
ENSP00000302961	pfam_whole	15
ENSP00000335153	pfam	18
ENSP00000335153	pfam_whole	61
ENSP00000325875	pfam	17
ENSP00000325875	pfam_whole	17
ENSP00000343023	pfam	16
ENSP00000343023	pfam_whole	562
ENSP00000308354	pfam	5
ENSP00000308354	pfam_whole	34
ENSP00000369075	pfam	9
ENSP00000369075	pfam_whole	58
ENSP00000308354	pfam	10
ENSP00000308354	pfam_whole	34
ENSP00000295598	pfam	23
ENSP00000295598	pfam_whole	28
ENSP00000397925	pfam	24
ENSP00000397925	pfam_whole	30
ENSP00000302441	pfam	10
ENSP00000302441	pfam_whole	15
ENSP00000357835	pfam	16
ENSP00000357835	pfam_whole	16
ENSP00000332756	pfam	25
ENSP00000332756	pfam_whole	25
ENSP00000365063	pfam	16
ENSP00000365063	pfam_whole	21
ENSP00000369739	pfam	17
ENSP00000369739	pfam_whole	19
ENSP00000390849	pfam	18
ENSP00000390849	pfam_whole	18
ENSP00000357835	pfam	13
ENSP00000357835	pfam_whole	16
ENSP00000357835	pfam	16
ENSP00000357835	pfam_whole	16
ENSP00000302441	pfam	6
ENSP00000302441	pfam_whole	15
ENSP00000352510	pfam	3
ENSP00000352510	pfam_whole	463
ENSP00000352510	pfam	3
ENSP00000352510	pfam_whole	463
ENSP00000352510	pfam	12
ENSP00000352510	pfam_whole	463
ENSP00000367794	pfam	0
ENSP00000367794	pfam_whole	125
ENSP00000385636	pfam	11
ENSP00000385636	pfam_whole	33
ENSP00000385636	pfam	14
ENSP00000385636	pfam_whole	33
ENSP00000385636	pfam	10
ENSP00000385636	pfam_whole	33
ENSP00000385636	pfam	11
ENSP00000385636	pfam_whole	33
ENSP00000385636	pfam	9
ENSP00000385636	pfam_whole	33
ENSP00000385636	pfam	7
ENSP00000385636	pfam_whole	33
ENSP00000385636	pfam	11
ENSP00000385636	pfam_whole	33
ENSP00000385636	pfam	6
ENSP00000385636	pfam_whole	33
ENSP00000385636	pfam	10
ENSP00000385636	pfam_whole	33
ENSP00000385636	pfam	11
ENSP00000385636	pfam_whole	33
ENSP00000385636	pfam	11
ENSP00000385636	pfam_whole	33
ENSP00000385636	pfam	7
ENSP00000385636	pfam_whole	33
ENSP00000385636	pfam	6
ENSP00000385636	pfam_whole	33
ENSP00000385636	pfam	6
ENSP00000385636	pfam_whole	33
ENSP00000385636	pfam	6
ENSP00000385636	pfam_whole	33
ENSP00000282466	pfam	15
ENSP00000282466	pfam_whole	113
ENSP00000282466	pfam	6
ENSP00000282466	pfam_whole	113
ENSP00000282466	pfam	9
ENSP00000282466	pfam_whole	113
ENSP00000282466	pfam	9
ENSP00000282466	pfam_whole	113
ENSP00000282466	pfam	14
ENSP00000282466	pfam_whole	113
ENSP00000282466	pfam	9
ENSP00000282466	pfam_whole	113
ENSP00000282466	pfam	21
ENSP00000282466	pfam_whole	113
ENSP00000282466	pfam	12
ENSP00000282466	pfam_whole	113
ENSP00000282466	pfam	12
ENSP00000282466	pfam_whole	113
ENSP00000282466	pfam	13
ENSP00000282466	pfam_whole	113
ENSP00000282466	pfam	8
ENSP00000282466	pfam_whole	113
ENSP00000282466	pfam	9
ENSP00000282466	pfam_whole	113
ENSP00000217939	pfam	16
