protein	loop_length
ENSP00000306124	114
ENSP00000306124	15
ENSP00000415178	81
ENSP00000365172	24
ENSP00000355231	0
ENSP00000258499	160
ENSP00000389913	556
ENSP00000289957	2
ENSP00000289957	4
ENSP00000263991	261
ENSP00000263991	37
ENSP00000344260	32
ENSP00000363349	42
ENSP00000448567	94
ENSP00000305260	9
ENSP00000305260	10
ENSP00000305260	5
ENSP00000305260	5
ENSP00000305260	4
ENSP00000305260	5
ENSP00000282388	15
ENSP00000282388	12
ENSP00000338769	33
ENSP00000338769	26
ENSP00000338769	28
ENSP00000292782	17
ENSP00000366144	1
ENSP00000353094	10
ENSP00000303147	10
ENSP00000303147	0
ENSP00000252840	65
ENSP00000252840	8
ENSP00000252840	6
ENSP00000252840	6
ENSP00000252840	22
ENSP00000252840	6
ENSP00000252840	6
ENSP00000252840	6
ENSP00000324956	86
ENSP00000324956	35
ENSP00000319343	42
ENSP00000318697	23
ENSP00000281543	15
ENSP00000281543	70
ENSP00000281543	0
ENSP00000385727	39
ENSP00000385727	238
ENSP00000261304	2
ENSP00000261908	3
ENSP00000261908	8
ENSP00000261908	2
ENSP00000261908	10
ENSP00000261908	14
ENSP00000261908	14
ENSP00000261908	22
ENSP00000261908	34
ENSP00000261908	11
ENSP00000261908	85
ENSP00000360811	3
ENSP00000360811	11
ENSP00000344489	30
ENSP00000286835	387
ENSP00000380514	57
ENSP00000358727	7
ENSP00000449396	3
ENSP00000449396	114
ENSP00000449396	32
ENSP00000449396	113
ENSP00000227251	12
ENSP00000326967	5
ENSP00000326967	6
ENSP00000326967	6
ENSP00000326967	5
ENSP00000326967	6
ENSP00000326967	6
ENSP00000326967	6
ENSP00000326967	6
ENSP00000438588	4
ENSP00000438588	21
ENSP00000357219	5
ENSP00000357219	6
ENSP00000353512	22
ENSP00000430344	10
ENSP00000430344	45
ENSP00000430344	22
ENSP00000376794	14
ENSP00000358795	77
ENSP00000358795	72
ENSP00000347730	6
ENSP00000347730	125
ENSP00000347730	192
ENSP00000347730	4
ENSP00000347730	10
ENSP00000307508	6
ENSP00000307508	8
ENSP00000360472	40
ENSP00000360472	6
ENSP00000360472	3
ENSP00000360472	3
ENSP00000360472	6
ENSP00000360472	2
ENSP00000360472	5
ENSP00000348577	61
ENSP00000348577	3
ENSP00000348577	29
ENSP00000345809	91
ENSP00000345809	128
ENSP00000345809	4
ENSP00000345809	6
ENSP00000345809	4
ENSP00000345809	6
ENSP00000345809	6
ENSP00000345809	6
ENSP00000345809	8
ENSP00000345809	6
ENSP00000345809	6
ENSP00000345809	6
ENSP00000345809	6
ENSP00000345809	6
ENSP00000345809	6
ENSP00000345809	4
ENSP00000345809	6
ENSP00000345809	6
ENSP00000345809	4
ENSP00000345809	6
ENSP00000345809	6
ENSP00000345809	8
ENSP00000361700	1
ENSP00000263054	0
ENSP00000263054	14
ENSP00000320347	6
ENSP00000320347	6
ENSP00000320347	6
ENSP00000320347	6
ENSP00000320347	6
ENSP00000320347	6
ENSP00000320347	6
ENSP00000320347	6
ENSP00000320347	6
ENSP00000320347	24
ENSP00000320347	6
ENSP00000225964	14
ENSP00000225964	21
ENSP00000225964	1
ENSP00000225964	2
ENSP00000225964	2
ENSP00000225964	2
ENSP00000225964	183
ENSP00000225964	5
ENSP00000225964	2
ENSP00000225964	182
ENSP00000225964	34
ENSP00000347486	4
ENSP00000347486	13
ENSP00000347486	1
ENSP00000347486	0
ENSP00000296474	50
ENSP00000296474	17
ENSP00000296474	3
ENSP00000296474	89
ENSP00000347626	81
ENSP00000347152	40
ENSP00000347152	54
ENSP00000347152	52
ENSP00000347152	6
ENSP00000347152	8
ENSP00000347152	153
ENSP00000347152	16
ENSP00000347152	3
ENSP00000342502	27
ENSP00000382874	47
ENSP00000327994	14
ENSP00000327994	33
ENSP00000327994	4
ENSP00000322640	223
ENSP00000364004	34
ENSP00000364004	17
ENSP00000301873	33
ENSP00000301873	20
ENSP00000301873	139
ENSP00000301873	2
ENSP00000301873	9
ENSP00000301873	2
ENSP00000301873	22
ENSP00000301873	19
ENSP00000301873	10
ENSP00000301873	7
ENSP00000301873	26
ENSP00000301873	69
ENSP00000338523	17
ENSP00000338523	11
ENSP00000338523	11
ENSP00000338523	25
ENSP00000338523	13
ENSP00000338523	22
ENSP00000338523	11
ENSP00000338523	11
ENSP00000335044	243
ENSP00000358998	2
ENSP00000354085	4
ENSP00000354085	210
ENSP00000354085	248
ENSP00000263033	240
ENSP00000263033	45
ENSP00000340281	207
ENSP00000340281	14
ENSP00000488958	2
ENSP00000326340	16
ENSP00000326340	18
ENSP00000326340	5
ENSP00000326340	9
ENSP00000323194	10
ENSP00000323194	95
ENSP00000323194	146
ENSP00000323194	14
ENSP00000323194	2
ENSP00000323194	12
ENSP00000323194	41
ENSP00000219271	31
ENSP00000219271	70
ENSP00000219271	3
ENSP00000219271	6
ENSP00000219271	6
ENSP00000219271	47
ENSP00000467024	84
ENSP00000467024	31
ENSP00000467024	33
ENSP00000355094	22
ENSP00000355094	138
ENSP00000334958	43
ENSP00000334958	21
ENSP00000341885	11
ENSP00000242592	1
ENSP00000242592	9
ENSP00000320646	6
ENSP00000349503	122
ENSP00000349503	6
ENSP00000349503	6
ENSP00000349503	6
ENSP00000307863	32
ENSP00000307863	43
ENSP00000380352	157
ENSP00000380352	55
ENSP00000474678	23
ENSP00000474678	69
ENSP00000253339	497
ENSP00000253339	31
ENSP00000254816	66
ENSP00000417185	16
ENSP00000417185	53
ENSP00000483519	28
ENSP00000280706	3
ENSP00000282466	95
ENSP00000282466	17
ENSP00000282466	821
ENSP00000282466	1
ENSP00000282466	2
ENSP00000282466	4
ENSP00000282466	13
ENSP00000282466	3
ENSP00000282466	18
ENSP00000282466	3
ENSP00000282466	1
ENSP00000282466	1
ENSP00000261523	177
ENSP00000296280	40
ENSP00000296280	4
ENSP00000296280	5
ENSP00000296280	17
ENSP00000445381	26
ENSP00000445381	24
ENSP00000445381	14
ENSP00000445381	17
ENSP00000445381	28
ENSP00000366950	7
ENSP00000322450	9
ENSP00000322450	14
ENSP00000326759	55
ENSP00000326759	1
ENSP00000326759	2
ENSP00000238146	19
ENSP00000238146	10
ENSP00000369299	21
ENSP00000369299	74
ENSP00000370936	8
ENSP00000351596	5
ENSP00000351596	6
ENSP00000351596	6
ENSP00000351596	8
ENSP00000263207	4
ENSP00000263207	21
ENSP00000263207	6
ENSP00000384823	47
ENSP00000384823	11
ENSP00000454224	61
ENSP00000346550	4
ENSP00000346550	10
ENSP00000346550	3
ENSP00000346550	43
ENSP00000346550	4
ENSP00000346550	9
ENSP00000346550	3
ENSP00000338093	10
ENSP00000338093	35
ENSP00000338093	11
ENSP00000480301	26
ENSP00000352011	274
ENSP00000352011	224
ENSP00000352011	34
ENSP00000312987	53
ENSP00000366746	27
ENSP00000366746	28
ENSP00000330098	130
ENSP00000368358	259
ENSP00000368358	8
ENSP00000368358	25
ENSP00000311184	70
ENSP00000311184	21
ENSP00000311184	6
ENSP00000311184	21
ENSP00000261349	3
ENSP00000261349	3
ENSP00000261349	28
ENSP00000261349	28
ENSP00000261349	2
ENSP00000261349	3
ENSP00000261349	49
ENSP00000261349	24
ENSP00000261349	3
ENSP00000261349	3
ENSP00000261349	56
ENSP00000261349	88
ENSP00000261349	4
ENSP00000261349	54
ENSP00000261349	5
ENSP00000261349	3
ENSP00000261349	4
ENSP00000311766	18
ENSP00000333380	13
ENSP00000333380	4
ENSP00000356925	3
ENSP00000333018	5
ENSP00000311962	31
ENSP00000311962	172
ENSP00000313603	4
ENSP00000313603	11
ENSP00000362870	14
ENSP00000362870	13
ENSP00000362870	0
ENSP00000221459	26
ENSP00000303246	56
ENSP00000303246	28
ENSP00000338283	19
ENSP00000338283	66
ENSP00000233154	57
ENSP00000233154	31
ENSP00000233154	32
ENSP00000303423	0
ENSP00000303423	2
ENSP00000303423	3
ENSP00000303423	5
ENSP00000439943	2
ENSP00000355523	107
ENSP00000355523	9
ENSP00000419153	312
ENSP00000419153	6
ENSP00000419153	5
ENSP00000419153	4
ENSP00000419153	23
ENSP00000478026	4
ENSP00000478026	11
ENSP00000478026	3
ENSP00000323527	48
ENSP00000323527	96
ENSP00000298815	15
ENSP00000298815	26
ENSP00000298815	249
ENSP00000370990	94
ENSP00000469830	20
ENSP00000482546	352
ENSP00000220003	15
ENSP00000220003	31
ENSP00000337034	47
ENSP00000337034	5
ENSP00000296435	2
ENSP00000405574	10
ENSP00000405574	28
ENSP00000405574	4
ENSP00000405574	5
ENSP00000405574	5
ENSP00000303659	144
ENSP00000303659	173
ENSP00000303659	2
ENSP00000364597	0
ENSP00000364597	11
ENSP00000424417	4
ENSP00000424417	4
ENSP00000424417	4
ENSP00000424417	23
ENSP00000253024	28
ENSP00000253024	14
ENSP00000253024	246
ENSP00000278968	25
ENSP00000379458	69
ENSP00000379458	14
ENSP00000379458	5
ENSP00000379458	6
ENSP00000379458	6
ENSP00000379458	6
ENSP00000379458	4
ENSP00000379458	6
ENSP00000379458	6
ENSP00000352785	12
ENSP00000352785	12
ENSP00000352785	20
ENSP00000352785	230
ENSP00000441838	178
ENSP00000441838	6
ENSP00000441838	6
ENSP00000441838	5
ENSP00000441838	6
ENSP00000441838	6
ENSP00000441838	6
ENSP00000441838	6
ENSP00000441838	6
ENSP00000441838	6
ENSP00000441838	6
ENSP00000441838	6
ENSP00000441838	6
ENSP00000441838	6
ENSP00000378508	50
ENSP00000293677	5
ENSP00000275820	23
ENSP00000383690	0
ENSP00000383690	4
ENSP00000383690	6
ENSP00000383690	5
ENSP00000383690	22
ENSP00000369979	30
ENSP00000369979	2
ENSP00000318057	95
ENSP00000318057	6
ENSP00000318057	6
ENSP00000344503	0
ENSP00000430955	23
ENSP00000252825	10
ENSP00000252825	19
ENSP00000252825	34
ENSP00000252825	10
ENSP00000416125	146
ENSP00000416125	75
ENSP00000299821	25
ENSP00000299821	55
ENSP00000372105	92
ENSP00000257497	4
ENSP00000257497	10
ENSP00000257497	3
ENSP00000383178	2
ENSP00000383178	113
ENSP00000383178	17
ENSP00000388311	223
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000388311	6
ENSP00000438526	6
ENSP00000438526	62
ENSP00000438526	7
ENSP00000438526	4
ENSP00000438526	38
ENSP00000482973	87
ENSP00000232888	17
ENSP00000232888	4
ENSP00000232888	5
ENSP00000232888	4
ENSP00000200457	4
ENSP00000200457	4
ENSP00000476534	128
ENSP00000476534	6
ENSP00000476534	6
ENSP00000476534	6
ENSP00000476534	6
ENSP00000476534	6
ENSP00000476534	5
ENSP00000476534	6
ENSP00000476534	6
ENSP00000476534	6
ENSP00000476534	24
ENSP00000264663	0
ENSP00000264663	25
ENSP00000264663	9
ENSP00000264668	109
ENSP00000264668	22
ENSP00000218006	45
ENSP00000218006	7
ENSP00000218006	6
ENSP00000262713	2
ENSP00000262713	1
ENSP00000480465	9
ENSP00000480465	211
ENSP00000222286	9
ENSP00000377191	1
ENSP00000377191	11
ENSP00000377191	7
ENSP00000377191	3
ENSP00000377191	3
ENSP00000377191	221
ENSP00000377191	3
ENSP00000377191	4
ENSP00000377191	3
ENSP00000377191	3
ENSP00000377191	3
ENSP00000377191	3
ENSP00000377191	6
ENSP00000252011	9
ENSP00000252011	11
ENSP00000348089	29
ENSP00000351883	187
ENSP00000351883	6
ENSP00000351883	6
ENSP00000351883	6
ENSP00000351883	4
ENSP00000266529	21
ENSP00000298838	109
ENSP00000310842	8
ENSP00000310842	2
ENSP00000310842	4
ENSP00000310842	4
ENSP00000310842	14
ENSP00000310842	5
ENSP00000358045	26
ENSP00000305334	92
ENSP00000305334	6
ENSP00000243052	42
ENSP00000358596	47
ENSP00000339328	99
ENSP00000348472	28
ENSP00000348472	156
ENSP00000341828	65
ENSP00000320485	589
ENSP00000345344	22
ENSP00000320885	27
ENSP00000315136	35
ENSP00000315136	14
ENSP00000291759	8
ENSP00000291759	72
ENSP00000347872	28
ENSP00000261819	3
ENSP00000371434	46
ENSP00000398502	24
ENSP00000397673	16
ENSP00000397673	34
ENSP00000419377	8
ENSP00000419377	27
ENSP00000419377	6
ENSP00000419377	6
ENSP00000419377	6
ENSP00000419377	7
ENSP00000419377	6
ENSP00000419377	29
ENSP00000419377	6
ENSP00000419377	6
ENSP00000419377	59
ENSP00000419377	6
ENSP00000419377	6
ENSP00000419377	6
ENSP00000419377	6
ENSP00000232607	40
ENSP00000232603	201
ENSP00000295121	94
ENSP00000364860	19
ENSP00000364860	25
ENSP00000364860	34
ENSP00000370546	21
ENSP00000375921	61
ENSP00000375921	70
ENSP00000351530	9
ENSP00000351530	8
ENSP00000351530	4
ENSP00000351530	75
ENSP00000416647	15
ENSP00000356155	88
ENSP00000356155	22
ENSP00000356155	18
ENSP00000356155	11
ENSP00000356155	34
ENSP00000359337	2
ENSP00000308944	31
ENSP00000308944	33
ENSP00000308944	28
ENSP00000362010	4
ENSP00000362010	10
ENSP00000362010	3
ENSP00000367064	5
ENSP00000367064	59
ENSP00000367064	8
ENSP00000367064	6
ENSP00000367064	12
ENSP00000367064	9
ENSP00000367064	9
ENSP00000367064	8
ENSP00000367064	9
ENSP00000367064	4
ENSP00000367064	5
ENSP00000367064	5
ENSP00000367064	4
ENSP00000367064	0
ENSP00000367064	6
ENSP00000367064	3
ENSP00000367064	1
ENSP00000367064	4
ENSP00000367064	5
ENSP00000367064	20
ENSP00000367064	2
ENSP00000367064	7
ENSP00000367064	1
ENSP00000367064	7
ENSP00000367064	6
ENSP00000367064	2
ENSP00000367064	4
ENSP00000367064	1
ENSP00000367064	1
ENSP00000367064	6
ENSP00000367064	2
ENSP00000367064	14
ENSP00000367064	4
ENSP00000482504	94
ENSP00000386870	45
ENSP00000310861	0
ENSP00000363089	118
ENSP00000363089	9
ENSP00000363089	22
ENSP00000352527	3
ENSP00000283243	27
ENSP00000283243	35
ENSP00000283243	39
ENSP00000283243	38
ENSP00000283243	28
ENSP00000283243	37
ENSP00000283243	26
ENSP00000283243	31
ENSP00000283249	33
ENSP00000283249	172
ENSP00000283249	9
ENSP00000283249	10
ENSP00000283249	3
ENSP00000353295	34
ENSP00000347409	14
ENSP00000377385	106
ENSP00000442656	43
ENSP00000442656	2
ENSP00000289672	42
ENSP00000289672	39
ENSP00000289672	114
ENSP00000352522	0
ENSP00000265708	34
ENSP00000265708	18
ENSP00000265708	7
ENSP00000264382	8
ENSP00000264382	18
ENSP00000264382	62
ENSP00000264382	10
ENSP00000264382	16
ENSP00000414109	106
ENSP00000414109	24
ENSP00000414109	84
ENSP00000263702	27
ENSP00000311121	0
ENSP00000367851	18
ENSP00000367851	7
ENSP00000288986	53
ENSP00000288986	33
ENSP00000288986	34
ENSP00000252244	0
ENSP00000252244	0
ENSP00000319279	17
ENSP00000319279	33
ENSP00000221233	4
ENSP00000361592	38
ENSP00000361592	5
ENSP00000379625	41
ENSP00000228284	23
ENSP00000228284	1
ENSP00000228284	7
ENSP00000261839	1
ENSP00000261839	0
ENSP00000261839	0
ENSP00000261839	0
ENSP00000261839	26
ENSP00000391042	19
ENSP00000438071	4
ENSP00000438071	4
ENSP00000254325	64
ENSP00000356233	15
ENSP00000356233	165
ENSP00000356233	91
ENSP00000356233	16
ENSP00000356233	0
ENSP00000356233	0
ENSP00000356233	76
ENSP00000356899	275
ENSP00000335306	26
ENSP00000335306	5
ENSP00000278829	13
ENSP00000464231	6
ENSP00000464231	8
ENSP00000345023	7
ENSP00000345752	7
ENSP00000217026	1
ENSP00000217026	259
ENSP00000354159	41
ENSP00000219313	28
ENSP00000354623	59
ENSP00000354623	455
ENSP00000362566	4
ENSP00000366271	235
ENSP00000366271	5
ENSP00000366271	329
ENSP00000386810	169
ENSP00000386810	173
ENSP00000386810	2
ENSP00000327557	9
ENSP00000327557	25
ENSP00000492528	59
ENSP00000492528	23
ENSP00000371886	5
ENSP00000371886	55
ENSP00000346886	49
ENSP00000346886	70
ENSP00000404464	72
ENSP00000251768	79
ENSP00000274170	12
ENSP00000274170	12
ENSP00000274170	24
ENSP00000274170	11
ENSP00000274170	14
ENSP00000428781	4
ENSP00000386461	2
ENSP00000386461	0
ENSP00000386461	0
ENSP00000386461	0
ENSP00000386461	11
ENSP00000386461	11
ENSP00000386461	30
ENSP00000386461	11
ENSP00000297261	3
ENSP00000292841	115
ENSP00000292841	6
ENSP00000292841	6
ENSP00000292841	6
ENSP00000292841	6
ENSP00000292841	31
ENSP00000292841	6
ENSP00000292841	6
ENSP00000292841	6
ENSP00000292841	6
ENSP00000292841	6
ENSP00000292841	6
ENSP00000292841	6
ENSP00000292841	6
ENSP00000292841	6
ENSP00000292841	7
ENSP00000292841	6
ENSP00000292841	6
ENSP00000292841	6
ENSP00000292841	6
ENSP00000311453	147
ENSP00000238714	2
ENSP00000358820	100
ENSP00000295317	48
ENSP00000329890	6
ENSP00000416387	4
ENSP00000315173	177
ENSP00000315173	24
ENSP00000315173	6
ENSP00000315173	6
ENSP00000315173	5
ENSP00000315173	6
ENSP00000315173	6
ENSP00000315173	6
ENSP00000315173	5
ENSP00000315173	5
ENSP00000315173	6
ENSP00000315173	6
ENSP00000315173	6
ENSP00000315173	8
ENSP00000315173	6
ENSP00000315173	6
ENSP00000315173	6
ENSP00000341351	12
ENSP00000341351	17
ENSP00000292539	9
ENSP00000402414	36
ENSP00000338171	85
ENSP00000264607	66
ENSP00000418647	93
ENSP00000418647	54
ENSP00000418647	25
ENSP00000418647	84
ENSP00000418647	76
ENSP00000418647	87
ENSP00000375063	85
ENSP00000375063	149
ENSP00000375063	7
ENSP00000375063	7
ENSP00000375063	6
ENSP00000375063	7
ENSP00000440207	97
ENSP00000237612	19
ENSP00000389175	44
ENSP00000261207	20
ENSP00000261207	595
ENSP00000365007	58
ENSP00000298542	8
ENSP00000298542	3
ENSP00000298542	8
ENSP00000296792	5
ENSP00000296792	6
ENSP00000296792	4
ENSP00000296792	36
ENSP00000284669	5
ENSP00000284669	79
ENSP00000284669	2
ENSP00000284669	4
ENSP00000353491	128
ENSP00000353491	6
ENSP00000353491	6
ENSP00000353491	4
ENSP00000353491	50
ENSP00000353491	6
ENSP00000353491	6
ENSP00000353491	7
ENSP00000353491	6
ENSP00000297848	47
ENSP00000297848	20
ENSP00000297848	15
ENSP00000297848	11
ENSP00000297848	13
ENSP00000297848	35
ENSP00000297848	11
ENSP00000297848	12
ENSP00000297848	32
ENSP00000297848	221
ENSP00000297848	4
ENSP00000297848	44
ENSP00000256759	0
ENSP00000256759	28
ENSP00000256759	28
ENSP00000474534	22
ENSP00000469759	5
ENSP00000469759	57
ENSP00000262134	16
ENSP00000262134	5
ENSP00000266581	22
ENSP00000339161	45
ENSP00000307833	25
ENSP00000370808	9
ENSP00000370808	6
ENSP00000359483	18
ENSP00000435466	14
ENSP00000435466	49
ENSP00000435466	1
ENSP00000328879	81
ENSP00000328879	5
ENSP00000328879	4
ENSP00000306261	0
ENSP00000481105	55
ENSP00000481105	397
ENSP00000481105	17
ENSP00000264169	6
ENSP00000264167	20
ENSP00000334197	3
ENSP00000334197	6
ENSP00000375863	173
ENSP00000375863	19
ENSP00000315371	0
ENSP00000370639	3
ENSP00000370639	9
ENSP00000345184	134
ENSP00000327213	81
ENSP00000327213	16
ENSP00000327213	8
ENSP00000296679	4
ENSP00000296679	24
ENSP00000469394	88
ENSP00000376776	41
ENSP00000376776	16
ENSP00000357981	22
ENSP00000364700	8
ENSP00000364700	7
ENSP00000335615	19
ENSP00000335615	7
ENSP00000415070	168
ENSP00000415070	5
ENSP00000415070	5
ENSP00000415070	6
ENSP00000415070	5
ENSP00000415070	5
ENSP00000415070	6
ENSP00000304408	83
ENSP00000304408	68
ENSP00000304408	2
ENSP00000304408	62
ENSP00000304408	2
ENSP00000304408	367
ENSP00000304408	62
ENSP00000304408	2
ENSP00000304408	37
ENSP00000287394	72
ENSP00000355580	2
ENSP00000284951	1
ENSP00000284951	1
ENSP00000284951	3
ENSP00000284951	9
ENSP00000284951	1
ENSP00000284951	1
ENSP00000284951	2
ENSP00000284951	2
ENSP00000284951	7
ENSP00000284951	3
ENSP00000359859	3
ENSP00000365625	6
ENSP00000365625	16
ENSP00000365625	11
ENSP00000265769	45
ENSP00000265769	17
ENSP00000265769	5
ENSP00000446880	65
ENSP00000446880	26
ENSP00000446880	368
ENSP00000446880	56
ENSP00000446880	75
ENSP00000295598	11
ENSP00000295598	3
ENSP00000295598	19
ENSP00000244519	20
ENSP00000244519	4
ENSP00000464359	6
ENSP00000308354	7
ENSP00000308354	48
ENSP00000264144	3
ENSP00000264144	11
ENSP00000264144	66
ENSP00000264144	1
ENSP00000264144	57
ENSP00000264144	12
ENSP00000264144	3
ENSP00000440984	225
ENSP00000331901	9
ENSP00000331901	28
ENSP00000361024	225
ENSP00000285071	66
ENSP00000282869	6
ENSP00000282869	6
ENSP00000282869	5
ENSP00000282869	6
ENSP00000282869	4
ENSP00000282869	6
ENSP00000282869	6
ENSP00000282869	26
ENSP00000282869	6
ENSP00000312506	32
ENSP00000312506	72
ENSP00000312506	11
ENSP00000312506	11
ENSP00000312506	10
ENSP00000312506	8
ENSP00000312506	13
ENSP00000312506	4
ENSP00000312506	13
ENSP00000312506	34
ENSP00000312506	6
ENSP00000312506	15
ENSP00000312506	23
ENSP00000312506	12
ENSP00000312506	23
ENSP00000359233	24
ENSP00000219478	74
ENSP00000219478	57
ENSP00000219478	5
ENSP00000219478	6
ENSP00000219478	4
ENSP00000219478	6
ENSP00000376306	225
ENSP00000376306	16
ENSP00000346964	15
ENSP00000346964	181
ENSP00000346964	24
ENSP00000346964	35
ENSP00000346964	17
ENSP00000346964	46
ENSP00000385636	24
ENSP00000385636	23
ENSP00000385636	4
ENSP00000385636	195
ENSP00000385636	5
ENSP00000385636	17
ENSP00000385636	61
ENSP00000385636	10
ENSP00000385636	15
ENSP00000385636	9
ENSP00000385636	5
ENSP00000385636	7
ENSP00000385636	6
ENSP00000385636	4
ENSP00000295809	110
ENSP00000295809	204
ENSP00000468936	103
ENSP00000231487	17
ENSP00000378260	98
ENSP00000422581	47
ENSP00000422581	4
ENSP00000281741	13
ENSP00000282296	219
ENSP00000282296	6
ENSP00000282296	6
ENSP00000282296	6
ENSP00000282296	6
ENSP00000282296	6
ENSP00000282296	6
ENSP00000282296	6
ENSP00000282296	6
ENSP00000282296	6
ENSP00000282296	6
ENSP00000282296	6
ENSP00000379242	3
ENSP00000379242	22
ENSP00000345030	8
ENSP00000345030	13
ENSP00000356652	2
ENSP00000356652	6
ENSP00000261797	36
ENSP00000219794	11
ENSP00000304697	3
ENSP00000304697	3
ENSP00000297737	33
ENSP00000297737	47
ENSP00000297737	23
ENSP00000357651	49
ENSP00000466298	31
ENSP00000352035	108
ENSP00000352035	15
ENSP00000352035	15
ENSP00000327536	4
ENSP00000327536	2
ENSP00000327536	0
ENSP00000327536	6
ENSP00000327536	18
ENSP00000327536	34
ENSP00000327536	20
ENSP00000276654	9
ENSP00000276654	14
ENSP00000276654	5
ENSP00000276654	43
ENSP00000276654	3
ENSP00000350085	119
ENSP00000350085	72
ENSP00000350085	4
ENSP00000350085	6
ENSP00000350085	6
ENSP00000350085	6
ENSP00000350085	6
ENSP00000350085	6
ENSP00000350085	6
ENSP00000350085	6
ENSP00000350085	6
ENSP00000350085	6
ENSP00000350085	6
ENSP00000350085	6
ENSP00000350085	6
ENSP00000350085	6
ENSP00000350085	6
ENSP00000350085	6
ENSP00000350085	4
ENSP00000227868	50
ENSP00000227868	53
ENSP00000326200	202
ENSP00000326200	5
ENSP00000326200	32
ENSP00000326200	6
ENSP00000326200	6
ENSP00000326200	6
ENSP00000326200	46
ENSP00000326200	13
ENSP00000326200	27
ENSP00000311513	733
ENSP00000453129	23
ENSP00000453129	50
ENSP00000375236	2
ENSP00000358799	72
ENSP00000358799	288
ENSP00000374013	45
ENSP00000374013	56
ENSP00000335153	2
ENSP00000347041	3
ENSP00000347041	6
ENSP00000480090	43
ENSP00000480090	8
ENSP00000480090	39
ENSP00000481149	242
ENSP00000377892	37
ENSP00000331927	131
ENSP00000331927	6
ENSP00000331927	5
ENSP00000331927	6
ENSP00000331927	21
ENSP00000331927	6
ENSP00000331927	6
ENSP00000007414	320
ENSP00000343819	53
ENSP00000478721	67
ENSP00000366988	12
ENSP00000436318	18
ENSP00000330381	4
ENSP00000330381	5
ENSP00000407193	20
ENSP00000257901	0
ENSP00000348886	2
ENSP00000344801	174
ENSP00000241416	46
ENSP00000370606	9
ENSP00000370606	5
ENSP00000413572	15
ENSP00000413572	5
ENSP00000413572	3
ENSP00000413572	41
ENSP00000413572	3
ENSP00000413572	5
ENSP00000484232	123
ENSP00000484232	6
ENSP00000484232	5
ENSP00000484232	6
ENSP00000484232	6
ENSP00000484232	6
ENSP00000484232	6
ENSP00000484232	6
ENSP00000484232	6
ENSP00000484232	6
ENSP00000484232	6
ENSP00000484232	6
ENSP00000325018	116
ENSP00000325018	6
ENSP00000325018	6
ENSP00000325018	6
ENSP00000325018	6
ENSP00000325018	6
ENSP00000325018	5
ENSP00000325018	6
ENSP00000325018	5
ENSP00000325018	6
ENSP00000325018	6
ENSP00000325018	5
ENSP00000325018	6
ENSP00000325018	5
ENSP00000325018	6
ENSP00000325018	6
ENSP00000325018	6
ENSP00000325018	6
ENSP00000263640	46
ENSP00000263640	2
ENSP00000440190	123
ENSP00000440190	323
ENSP00000336842	138
ENSP00000265428	237
ENSP00000265428	3
ENSP00000265428	46
ENSP00000265428	11
ENSP00000265428	17
ENSP00000354410	25
ENSP00000354410	24
ENSP00000354410	90
ENSP00000354410	17
ENSP00000470728	355
ENSP00000322545	136
ENSP00000322545	6
ENSP00000322545	6
ENSP00000322545	6
ENSP00000322545	6
ENSP00000322545	6
ENSP00000322545	6
ENSP00000322545	6
ENSP00000322545	6
ENSP00000322545	6
ENSP00000322545	6
ENSP00000322545	6
ENSP00000322545	6
ENSP00000262113	32
ENSP00000262113	10
ENSP00000262113	40
ENSP00000262113	16
ENSP00000262113	14
ENSP00000262113	16
ENSP00000262113	296
ENSP00000264926	60
ENSP00000483300	33
ENSP00000483300	34
ENSP00000483300	66
ENSP00000483300	0
ENSP00000483300	44
ENSP00000372347	124
ENSP00000372347	353
ENSP00000372347	92
ENSP00000298925	100
ENSP00000298925	4
ENSP00000298925	34
ENSP00000298925	72
ENSP00000256999	38
ENSP00000256999	89
ENSP00000321812	167
ENSP00000321812	6
ENSP00000321812	6
ENSP00000321812	6
ENSP00000321812	6
ENSP00000321812	6
ENSP00000321812	6
ENSP00000321812	6
ENSP00000321812	6
ENSP00000171887	1157
ENSP00000171887	34
ENSP00000437476	4
ENSP00000271651	25
ENSP00000426632	37
ENSP00000426632	7
ENSP00000426632	36
ENSP00000426632	69
ENSP00000330460	54
ENSP00000330460	6
ENSP00000385770	39
ENSP00000385770	26
ENSP00000385770	22
ENSP00000293525	0
ENSP00000356319	10
ENSP00000356319	2
ENSP00000397133	13
ENSP00000397133	16
ENSP00000375613	6
ENSP00000222388	4
ENSP00000222388	12
ENSP00000310491	39
ENSP00000305107	35
ENSP00000305107	9
ENSP00000366513	59
ENSP00000436975	14
ENSP00000362687	15
ENSP00000362687	9
ENSP00000358142	9
ENSP00000358142	3
ENSP00000242810	5
ENSP00000242810	32
ENSP00000242810	7
ENSP00000242810	5
ENSP00000242810	32
